time Optional[local:ss-10000] 
0.0 59700.0 
1.032 71100.0 
2.057 80775.0 
3.075 90725.0 
4.08 99925.0 
5.084 109800.0 
6.088 119425.0 
7.09 129375.0 
8.093 139325.0 
9.096 148650.0 
10.099 160100.0 
11.101 170025.0 
12.103 179975.0 
13.105 189325.0 
14.107 198325.0 
15.109 207350.0 
16.112 218575.0 
17.114 227925.0 
18.116 237900.0 
19.118 247875.0 
20.12 258475.0 
21.122 268150.0 
22.123 279350.0 
23.126 289625.0 
24.127 299300.0 
25.129 308975.0 
26.131 318975.0 
27.133 328650.0 
28.135 338950.0 
29.137 349250.0 
30.14 358925.0 
31.142 368900.0 
32.144 379525.0 
33.146 389200.0 
34.148 399200.0 
35.15 409200.0 
36.152 419200.0 
37.155 429500.0 
38.156 439500.0 
39.158 449500.0 
40.16 460125.0 
41.162 470125.0 
42.164 480125.0 
43.165 490125.0 
44.167 500125.0 
45.169 510125.0 
46.17 520125.0 
47.172 530125.0 
48.174 540125.0 
49.175 550125.0 
50.177 560125.0 
51.179 570125.0 
52.181 580125.0 
53.183 590125.0 
54.185 600125.0 
55.186 610750.0 
56.188 620750.0 
57.19 630750.0 
58.192 640750.0 
59.193 650750.0 
60.195 660750.0 
61.196 670750.0 
62.197 680750.0 
63.2 690750.0 
64.201 700750.0 
65.203 710750.0 
66.205 720750.0 
67.207 730750.0 
68.209 740750.0 
69.211 750750.0 
70.213 760750.0 
71.215 770750.0 
72.216 780750.0 
73.218 790750.0 
74.219 800750.0 
75.221 810750.0 
76.222 820750.0 
77.224 830750.0 
78.225 840750.0 
79.227 850750.0 
80.229 860750.0 
81.231 870750.0 
82.232 880750.0 
83.233 890750.0 
84.235 900750.0 
85.236 910750.0 
86.238 920750.0 
87.24 930750.0 
88.241 940750.0 
89.243 950750.0 
90.245 960750.0 
91.247 970750.0 
92.248 980750.0 
93.25 990750.0 
94.252 1000750.0 
95.253 1010750.0 
96.255 1020750.0 
97.256 1030750.0 
98.258 1040750.0 
99.259 1050750.0 
100.261 1060750.0 
101.262 1070750.0 
102.264 1080750.0 
103.265 1090750.0 
104.266 1100750.0 
105.268 1110750.0 
106.27 1120750.0 
107.271 1130750.0 
108.273 1140750.0 
109.275 1150750.0 
110.276 1160750.0 
111.278 1170750.0 
112.279 1180750.0 
113.281 1190750.0 
