Time Mean Min Max StDev ConfidenceInterval
0 59700.0 59700.0 59700.0 0 0
1 71400.0 71400.0 71400.0 0 0
2 81075.0 81075.0 81075.0 0 0
3 91250.0 91250.0 91250.0 0 0
4 100800.0 100800.0 100800.0 0 0
5 110700.0 110700.0 110700.0 0 0
6 120650.0 120650.0 120650.0 0 0
7 130275.0 130275.0 130275.0 0 0
8 140250.0 140250.0 140250.0 0 0
9 149875.0 149875.0 149875.0 0 0
10 159825.0 159825.0 159825.0 0 0
11 169475.0 169475.0 169475.0 0 0
12 179125.0 179125.0 179125.0 0 0
13 189400.0 189400.0 189400.0 0 0
14 199075.0 199075.0 199075.0 0 0
15 209000.0 209000.0 209000.0 0 0
16 219250.0 219250.0 219250.0 0 0
17 229225.0 229225.0 229225.0 0 0
18 238875.0 238875.0 238875.0 0 0
19 249125.0 249125.0 249125.0 0 0
20 258775.0 258775.0 258775.0 0 0
21 269350.0 269350.0 269350.0 0 0
22 279350.0 279350.0 279350.0 0 0
23 289650.0 289650.0 289650.0 0 0
24 299325.0 299325.0 299325.0 0 0
25 309325.0 309325.0 309325.0 0 0
26 319000.0 319000.0 319000.0 0 0
27 328975.0 328975.0 328975.0 0 0
28 338650.0 338650.0 338650.0 0 0
29 348650.0 348650.0 348650.0 0 0
30 358650.0 358650.0 358650.0 0 0
31 368650.0 368650.0 368650.0 0 0
32 378950.0 378950.0 378950.0 0 0
33 388950.0 388950.0 388950.0 0 0
34 399575.0 399575.0 399575.0 0 0
35 409575.0 409575.0 409575.0 0 0
36 420200.0 420200.0 420200.0 0 0
37 430200.0 430200.0 430200.0 0 0
38 440200.0 440200.0 440200.0 0 0
39 450500.0 450500.0 450500.0 0 0
40 460500.0 460500.0 460500.0 0 0
41 470175.0 470175.0 470175.0 0 0
42 480475.0 480475.0 480475.0 0 0
43 490475.0 490475.0 490475.0 0 0
44 500475.0 500475.0 500475.0 0 0
45 510125.0 510125.0 510125.0 0 0
46 520125.0 520125.0 520125.0 0 0
47 530125.0 530125.0 530125.0 0 0
48 539800.0 539800.0 539800.0 0 0
49 549800.0 549800.0 549800.0 0 0
50 560425.0 560425.0 560425.0 0 0
51 572925.0 572925.0 572925.0 0 0
52 583550.0 583550.0 583550.0 0 0
53 593550.0 593550.0 593550.0 0 0
54 603550.0 603550.0 603550.0 0 0
55 613550.0 613550.0 613550.0 0 0
56 623550.0 623550.0 623550.0 0 0
57 633550.0 633550.0 633550.0 0 0
58 643550.0 643550.0 643550.0 0 0
59 653550.0 653550.0 653550.0 0 0
60 663550.0 663550.0 663550.0 0 0
61 673550.0 673550.0 673550.0 0 0
62 683550.0 683550.0 683550.0 0 0
63 693550.0 693550.0 693550.0 0 0
64 703550.0 703550.0 703550.0 0 0
65 713550.0 713550.0 713550.0 0 0
66 723225.0 723225.0 723225.0 0 0
67 733225.0 733225.0 733225.0 0 0
68 743225.0 743225.0 743225.0 0 0
69 753850.0 753850.0 753850.0 0 0
70 763850.0 763850.0 763850.0 0 0
71 773850.0 773850.0 773850.0 0 0
72 783850.0 783850.0 783850.0 0 0
73 793850.0 793850.0 793850.0 0 0
74 803525.0 803525.0 803525.0 0 0
75 813525.0 813525.0 813525.0 0 0
76 823525.0 823525.0 823525.0 0 0
77 833525.0 833525.0 833525.0 0 0
78 843525.0 843525.0 843525.0 0 0
79 853525.0 853525.0 853525.0 0 0
80 863525.0 863525.0 863525.0 0 0
81 873525.0 873525.0 873525.0 0 0
82 883525.0 883525.0 883525.0 0 0
83 893525.0 893525.0 893525.0 0 0
84 903525.0 903525.0 903525.0 0 0
85 913525.0 913525.0 913525.0 0 0
86 923525.0 923525.0 923525.0 0 0
87 933525.0 933525.0 933525.0 0 0
88 943525.0 943525.0 943525.0 0 0
89 953525.0 953525.0 953525.0 0 0
90 963525.0 963525.0 963525.0 0 0
91 973525.0 973525.0 973525.0 0 0
92 983525.0 983525.0 983525.0 0 0
93 993525.0 993525.0 993525.0 0 0
94 1003525.0 1003525.0 1003525.0 0 0
95 1013525.0 1013525.0 1013525.0 0 0
96 1023525.0 1023525.0 1023525.0 0 0
97 1033525.0 1033525.0 1033525.0 0 0
98 1043525.0 1043525.0 1043525.0 0 0
99 1053525.0 1053525.0 1053525.0 0 0
100 1063525.0 1063525.0 1063525.0 0 0
101 1073525.0 1073525.0 1073525.0 0 0
102 1083525.0 1083525.0 1083525.0 0 0
103 1093525.0 1093525.0 1093525.0 0 0
104 1103525.0 1103525.0 1103525.0 0 0
105 1113525.0 1113525.0 1113525.0 0 0
106 1123525.0 1123525.0 1123525.0 0 0
107 1133525.0 1133525.0 1133525.0 0 0
108 1143525.0 1143525.0 1143525.0 0 0
109 1153525.0 1153525.0 1153525.0 0 0
110 1163525.0 1163525.0 1163525.0 0 0
111 1173525.0 1173525.0 1173525.0 0 0
112 1183525.0 1183525.0 1183525.0 0 0
113 1193525.0 1193525.0 1193525.0 0 0
114 1203525.0 1203525.0 1203525.0 0 0
115 1213525.0 1213525.0 1213525.0 0 0
116 1223525.0 1223525.0 1223525.0 0 0
117 1233525.0 1233525.0 1233525.0 0 0
118 1243525.0 1243525.0 1243525.0 0 0
119 1253525.0 1253525.0 1253525.0 0 0
120 1263525.0 1263525.0 1263525.0 0 0
121 1273525.0 1273525.0 1273525.0 0 0
122 1283525.0 1283525.0 1283525.0 0 0
123 1293525.0 1293525.0 1293525.0 0 0
124 1303525.0 1303525.0 1303525.0 0 0
125 1313525.0 1313525.0 1313525.0 0 0
126 1323525.0 1323525.0 1323525.0 0 0
127 1333525.0 1333525.0 1333525.0 0 0
128 1343525.0 1343525.0 1343525.0 0 0
129 1353525.0 1353525.0 1353525.0 0 0
130 1363525.0 1363525.0 1363525.0 0 0
131 1373525.0 1373525.0 1373525.0 0 0
132 1383525.0 1383525.0 1383525.0 0 0
133 1393525.0 1393525.0 1393525.0 0 0
134 1403525.0 1403525.0 1403525.0 0 0
135 1413525.0 1413525.0 1413525.0 0 0
136 1423525.0 1423525.0 1423525.0 0 0
137 1433525.0 1433525.0 1433525.0 0 0
138 1443525.0 1443525.0 1443525.0 0 0
139 1453525.0 1453525.0 1453525.0 0 0
140 1463525.0 1463525.0 1463525.0 0 0
141 1473525.0 1473525.0 1473525.0 0 0
142 1483525.0 1483525.0 1483525.0 0 0
143 1493525.0 1493525.0 1493525.0 0 0
144 1503525.0 1503525.0 1503525.0 0 0
145 1513525.0 1513525.0 1513525.0 0 0
146 1523525.0 1523525.0 1523525.0 0 0
147 1533525.0 1533525.0 1533525.0 0 0
148 1543525.0 1543525.0 1543525.0 0 0
149 1553525.0 1553525.0 1553525.0 0 0
150 1563525.0 1563525.0 1563525.0 0 0
151 1573525.0 1573525.0 1573525.0 0 0
152 1584150.0 1584150.0 1584150.0 0 0
153 1594150.0 1594150.0 1594150.0 0 0
154 1604150.0 1604150.0 1604150.0 0 0
155 1614150.0 1614150.0 1614150.0 0 0
156 1624150.0 1624150.0 1624150.0 0 0
157 1634150.0 1634150.0 1634150.0 0 0
158 1644150.0 1644150.0 1644150.0 0 0
159 1654150.0 1654150.0 1654150.0 0 0
160 1664150.0 1664150.0 1664150.0 0 0
161 1674150.0 1674150.0 1674150.0 0 0
162 1684150.0 1684150.0 1684150.0 0 0
163 1694150.0 1694150.0 1694150.0 0 0
164 1704150.0 1704150.0 1704150.0 0 0
165 1714150.0 1714150.0 1714150.0 0 0
166 1724150.0 1724150.0 1724150.0 0 0
167 1734150.0 1734150.0 1734150.0 0 0
168 1744150.0 1744150.0 1744150.0 0 0
169 1754150.0 1754150.0 1754150.0 0 0
170 1764150.0 1764150.0 1764150.0 0 0
171 1774150.0 1774150.0 1774150.0 0 0
172 1784150.0 1784150.0 1784150.0 0 0
173 1794150.0 1794150.0 1794150.0 0 0
174 1804150.0 1804150.0 1804150.0 0 0
175 1814150.0 1814150.0 1814150.0 0 0
176 1824150.0 1824150.0 1824150.0 0 0
177 1834150.0 1834150.0 1834150.0 0 0
178 1844150.0 1844150.0 1844150.0 0 0
179 1854150.0 1854150.0 1854150.0 0 0
180 1864150.0 1864150.0 1864150.0 0 0
181 1874150.0 1874150.0 1874150.0 0 0
182 1884150.0 1884150.0 1884150.0 0 0
183 1894150.0 1894150.0 1894150.0 0 0
184 1904150.0 1904150.0 1904150.0 0 0
185 1914150.0 1914150.0 1914150.0 0 0
186 1924150.0 1924150.0 1924150.0 0 0
187 1934150.0 1934150.0 1934150.0 0 0
188 1944150.0 1944150.0 1944150.0 0 0
189 1954150.0 1954150.0 1954150.0 0 0
190 1964150.0 1964150.0 1964150.0 0 0
191 1974150.0 1974150.0 1974150.0 0 0
192 1984150.0 1984150.0 1984150.0 0 0
193 1994150.0 1994150.0 1994150.0 0 0
194 2004150.0 2004150.0 2004150.0 0 0
195 2014150.0 2014150.0 2014150.0 0 0
196 2024150.0 2024150.0 2024150.0 0 0
197 2034150.0 2034150.0 2034150.0 0 0
198 2044150.0 2044150.0 2044150.0 0 0
199 2054150.0 2054150.0 2054150.0 0 0
200 2064150.0 2064150.0 2064150.0 0 0
201 2074150.0 2074150.0 2074150.0 0 0
202 2084150.0 2084150.0 2084150.0 0 0
203 2094150.0 2094150.0 2094150.0 0 0
204 2104150.0 2104150.0 2104150.0 0 0
205 2114150.0 2114150.0 2114150.0 0 0
206 2124150.0 2124150.0 2124150.0 0 0
208 2134150.0 2134150.0 2134150.0 0 0
209 2144150.0 2144150.0 2144150.0 0 0
210 2154150.0 2154150.0 2154150.0 0 0
211 2164150.0 2164150.0 2164150.0 0 0
212 2174150.0 2174150.0 2174150.0 0 0
213 2184150.0 2184150.0 2184150.0 0 0
214 2194150.0 2194150.0 2194150.0 0 0
215 2204150.0 2204150.0 2204150.0 0 0
216 2214150.0 2214150.0 2214150.0 0 0
217 2224150.0 2224150.0 2224150.0 0 0
218 2234150.0 2234150.0 2234150.0 0 0
219 2244150.0 2244150.0 2244150.0 0 0
220 2254150.0 2254150.0 2254150.0 0 0
221 2264150.0 2264150.0 2264150.0 0 0
222 2274150.0 2274150.0 2274150.0 0 0
223 2284150.0 2284150.0 2284150.0 0 0
224 2294150.0 2294150.0 2294150.0 0 0
225 2304150.0 2304150.0 2304150.0 0 0
226 2314150.0 2314150.0 2314150.0 0 0
227 2324150.0 2324150.0 2324150.0 0 0
228 2333500.0 2333500.0 2333500.0 0 0
229 2343500.0 2343500.0 2343500.0 0 0
230 2353500.0 2353500.0 2353500.0 0 0
231 2363500.0 2363500.0 2363500.0 0 0
232 2373500.0 2373500.0 2373500.0 0 0
233 2383175.0 2383175.0 2383175.0 0 0
234 2393175.0 2393175.0 2393175.0 0 0
235 2403175.0 2403175.0 2403175.0 0 0
236 2413175.0 2413175.0 2413175.0 0 0
237 2423175.0 2423175.0 2423175.0 0 0
238 2433175.0 2433175.0 2433175.0 0 0
239 2443175.0 2443175.0 2443175.0 0 0
240 2453175.0 2453175.0 2453175.0 0 0
241 2463175.0 2463175.0 2463175.0 0 0
242 2473175.0 2473175.0 2473175.0 0 0
243 2483175.0 2483175.0 2483175.0 0 0
244 2493175.0 2493175.0 2493175.0 0 0
245 2503175.0 2503175.0 2503175.0 0 0
246 2513175.0 2513175.0 2513175.0 0 0
247 2522850.0 2522850.0 2522850.0 0 0
248 2532850.0 2532850.0 2532850.0 0 0
249 2542825.0 2542825.0 2542825.0 0 0
250 2552825.0 2552825.0 2552825.0 0 0
251 2563125.0 2563125.0 2563125.0 0 0
252 2572475.0 2572475.0 2572475.0 0 0
253 2582475.0 2582475.0 2582475.0 0 0
254 2592475.0 2592475.0 2592475.0 0 0
255 2602775.0 2602775.0 2602775.0 0 0
256 2612775.0 2612775.0 2612775.0 0 0
257 2622775.0 2622775.0 2622775.0 0 0
258 2632125.0 2632125.0 2632125.0 0 0
259 2642125.0 2642125.0 2642125.0 0 0
260 2652100.0 2652100.0 2652100.0 0 0
261 2661775.0 2661775.0 2661775.0 0 0
262 2671750.0 2671750.0 2671750.0 0 0
263 2682050.0 2682050.0 2682050.0 0 0
264 2692975.0 2692975.0 2692975.0 0 0
265 2702975.0 2702975.0 2702975.0 0 0
266 2712975.0 2712975.0 2712975.0 0 0
267 2723275.0 2723275.0 2723275.0 0 0
268 2732950.0 2732950.0 2732950.0 0 0
269 2742625.0 2742625.0 2742625.0 0 0
270 2753225.0 2753225.0 2753225.0 0 0
271 2763225.0 2763225.0 2763225.0 0 0
272 2772900.0 2772900.0 2772900.0 0 0
273 2782875.0 2782875.0 2782875.0 0 0
274 2792550.0 2792550.0 2792550.0 0 0
275 2802200.0 2802200.0 2802200.0 0 0
276 2811200.0 2811200.0 2811200.0 0 0
277 2820875.0 2820875.0 2820875.0 0 0
278 2830500.0 2830500.0 2830500.0 0 0
279 2840800.0 2840800.0 2840800.0 0 0
280 2849800.0 2849800.0 2849800.0 0 0
281 2859775.0 2859775.0 2859775.0 0 0
282 2869750.0 2869750.0 2869750.0 0 0
283 2879725.0 2879725.0 2879725.0 0 0
284 2891875.0 2891875.0 2891875.0 0 0
285 2902150.0 2902150.0 2902150.0 0 0
286 2911500.0 2911500.0 2911500.0 0 0
287 2921175.0 2921175.0 2921175.0 0 0
288 2931175.0 2931175.0 2931175.0 0 0
289 2942375.0 2942375.0 2942375.0 0 0
290 2952325.0 2952325.0 2952325.0 0 0
291 2962925.0 2962925.0 2962925.0 0 0
292 2972250.0 2972250.0 2972250.0 0 0
293 2981575.0 2981575.0 2981575.0 0 0
294 2992200.0 2992200.0 2992200.0 0 0
295 3001875.0 3001875.0 3001875.0 0 0
296 3011525.0 3011525.0 3011525.0 0 0
297 3021800.0 3021800.0 3021800.0 0 0
298 3032400.0 3032400.0 3032400.0 0 0
299 3042050.0 3042050.0 3042050.0 0 0
300 3052050.0 3052050.0 3052050.0 0 0
301 3062325.0 3062325.0 3062325.0 0 0
302 3072275.0 3072275.0 3072275.0 0 0
303 3082250.0 3082250.0 3082250.0 0 0
304 3092250.0 3092250.0 3092250.0 0 0
305 3102550.0 3102550.0 3102550.0 0 0
306 3112200.0 3112200.0 3112200.0 0 0
307 3121875.0 3121875.0 3121875.0 0 0
308 3131200.0 3131200.0 3131200.0 0 0
309 3141500.0 3141500.0 3141500.0 0 0
310 3152725.0 3152725.0 3152725.0 0 0
311 3162650.0 3162650.0 3162650.0 0 0
312 3172000.0 3172000.0 3172000.0 0 0
313 3181925.0 3181925.0 3181925.0 0 0
314 3191575.0 3191575.0 3191575.0 0 0
315 3202150.0 3202150.0 3202150.0 0 0
316 3212125.0 3212125.0 3212125.0 0 0
317 3222075.0 3222075.0 3222075.0 0 0
318 3231375.0 3231375.0 3231375.0 0 0
319 3241350.0 3241350.0 3241350.0 0 0
320 3251325.0 3251325.0 3251325.0 0 0
321 3261575.0 3261575.0 3261575.0 0 0
322 3271575.0 3271575.0 3271575.0 0 0
323 3281550.0 3281550.0 3281550.0 0 0
324 3291200.0 3291200.0 3291200.0 0 0
325 3301125.0 3301125.0 3301125.0 0 0
326 3311075.0 3311075.0 3311075.0 0 0
327 3321025.0 3321025.0 3321025.0 0 0
328 3330975.0 3330975.0 3330975.0 0 0
329 3340625.0 3340625.0 3340625.0 0 0
330 3350900.0 3350900.0 3350900.0 0 0
331 3361200.0 3361200.0 3361200.0 0 0
332 3370825.0 3370825.0 3370825.0 0 0
333 3379825.0 3379825.0 3379825.0 0 0
334 3389475.0 3389475.0 3389475.0 0 0
335 3400100.0 3400100.0 3400100.0 0 0
336 3410050.0 3410050.0 3410050.0 0 0
337 3420625.0 3420625.0 3420625.0 0 0
338 3429925.0 3429925.0 3429925.0 0 0
339 3439850.0 3439850.0 3439850.0 0 0
340 3450075.0 3450075.0 3450075.0 0 0
341 3460050.0 3460050.0 3460050.0 0 0
342 3470625.0 3470625.0 3470625.0 0 0
343 3480575.0 3480575.0 3480575.0 0 0
344 3490550.0 3490550.0 3490550.0 0 0
345 3500800.0 3500800.0 3500800.0 0 0
346 3511075.0 3511075.0 3511075.0 0 0
347 3521975.0 3521975.0 3521975.0 0 0
348 3531900.0 3531900.0 3531900.0 0 0
349 3541550.0 3541550.0 3541550.0 0 0
350 3551525.0 3551525.0 3551525.0 0 0
351 3564025.0 3564025.0 3564025.0 0 0
352 3572425.0 3572425.0 3572425.0 0 0
353 3583050.0 3583050.0 3583050.0 0 0
354 3593300.0 3593300.0 3593300.0 0 0
355 3603275.0 3603275.0 3603275.0 0 0
356 3614175.0 3614175.0 3614175.0 0 0
357 3624450.0 3624450.0 3624450.0 0 0
358 3633775.0 3633775.0 3633775.0 0 0
359 3643450.0 3643450.0 3643450.0 0 0
360 3654075.0 3654075.0 3654075.0 0 0
361 3663750.0 3663750.0 3663750.0 0 0
362 3673750.0 3673750.0 3673750.0 0 0
363 3683750.0 3683750.0 3683750.0 0 0
364 3694000.0 3694000.0 3694000.0 0 0
365 3704900.0 3704900.0 3704900.0 0 0
366 3714850.0 3714850.0 3714850.0 0 0
367 3725450.0 3725450.0 3725450.0 0 0
368 3735125.0 3735125.0 3735125.0 0 0
369 3744150.0 3744150.0 3744150.0 0 0
370 3754775.0 3754775.0 3754775.0 0 0
371 3764125.0 3764125.0 3764125.0 0 0
372 3774750.0 3774750.0 3774750.0 0 0
373 3785050.0 3785050.0 3785050.0 0 0
374 3794400.0 3794400.0 3794400.0 0 0
375 3804375.0 3804375.0 3804375.0 0 0
376 3814375.0 3814375.0 3814375.0 0 0
377 3824050.0 3824050.0 3824050.0 0 0
378 3833400.0 3833400.0 3833400.0 0 0
379 3842750.0 3842750.0 3842750.0 0 0
380 3853675.0 3853675.0 3853675.0 0 0
381 3863975.0 3863975.0 3863975.0 0 0
382 3874275.0 3874275.0 3874275.0 0 0
383 3883950.0 3883950.0 3883950.0 0 0
384 3893950.0 3893950.0 3893950.0 0 0
385 3904575.0 3904575.0 3904575.0 0 0
386 3914250.0 3914250.0 3914250.0 0 0
387 3924250.0 3924250.0 3924250.0 0 0
388 3934225.0 3934225.0 3934225.0 0 0
389 3944225.0 3944225.0 3944225.0 0 0
390 3954525.0 3954525.0 3954525.0 0 0
391 3964200.0 3964200.0 3964200.0 0 0
392 3975100.0 3975100.0 3975100.0 0 0
393 3985100.0 3985100.0 3985100.0 0 0
394 3994775.0 3994775.0 3994775.0 0 0
395 4004775.0 4004775.0 4004775.0 0 0
396 4014450.0 4014450.0 4014450.0 0 0
397 4023800.0 4023800.0 4023800.0 0 0
398 4033800.0 4033800.0 4033800.0 0 0
399 4045350.0 4045350.0 4045350.0 0 0
400 4055350.0 4055350.0 4055350.0 0 0
401 4065325.0 4065325.0 4065325.0 0 0
402 4075000.0 4075000.0 4075000.0 0 0
403 4085625.0 4085625.0 4085625.0 0 0
404 4095625.0 4095625.0 4095625.0 0 0
405 4105900.0 4105900.0 4105900.0 0 0
406 4115900.0 4115900.0 4115900.0 0 0
407 4125250.0 4125250.0 4125250.0 0 0
408 4135250.0 4135250.0 4135250.0 0 0
409 4145225.0 4145225.0 4145225.0 0 0
410 4155850.0 4155850.0 4155850.0 0 0
411 4165850.0 4165850.0 4165850.0 0 0
412 4175525.0 4175525.0 4175525.0 0 0
413 4185525.0 4185525.0 4185525.0 0 0
414 4195175.0 4195175.0 4195175.0 0 0
415 4205175.0 4205175.0 4205175.0 0 0
416 4215175.0 4215175.0 4215175.0 0 0
417 4225175.0 4225175.0 4225175.0 0 0
418 4235175.0 4235175.0 4235175.0 0 0
419 4245175.0 4245175.0 4245175.0 0 0
420 4255175.0 4255175.0 4255175.0 0 0
421 4264850.0 4264850.0 4264850.0 0 0
422 4275475.0 4275475.0 4275475.0 0 0
423 4285150.0 4285150.0 4285150.0 0 0
424 4295150.0 4295150.0 4295150.0 0 0
425 4305150.0 4305150.0 4305150.0 0 0
426 4315150.0 4315150.0 4315150.0 0 0
427 4325450.0 4325450.0 4325450.0 0 0
428 4335450.0 4335450.0 4335450.0 0 0
429 4345450.0 4345450.0 4345450.0 0 0
430 4355125.0 4355125.0 4355125.0 0 0
431 4365125.0 4365125.0 4365125.0 0 0
432 4375125.0 4375125.0 4375125.0 0 0
433 4385125.0 4385125.0 4385125.0 0 0
434 4395125.0 4395125.0 4395125.0 0 0
435 4405425.0 4405425.0 4405425.0 0 0
436 4415425.0 4415425.0 4415425.0 0 0
437 4425425.0 4425425.0 4425425.0 0 0
438 4435425.0 4435425.0 4435425.0 0 0
439 4445425.0 4445425.0 4445425.0 0 0
440 4455100.0 4455100.0 4455100.0 0 0
441 4465100.0 4465100.0 4465100.0 0 0
442 4475100.0 4475100.0 4475100.0 0 0
443 4485100.0 4485100.0 4485100.0 0 0
444 4495100.0 4495100.0 4495100.0 0 0
445 4505725.0 4505725.0 4505725.0 0 0
446 4515725.0 4515725.0 4515725.0 0 0
447 4525725.0 4525725.0 4525725.0 0 0
448 4535725.0 4535725.0 4535725.0 0 0
449 4545725.0 4545725.0 4545725.0 0 0
450 4555725.0 4555725.0 4555725.0 0 0
451 4565400.0 4565400.0 4565400.0 0 0
452 4575400.0 4575400.0 4575400.0 0 0
453 4585400.0 4585400.0 4585400.0 0 0
454 4595400.0 4595400.0 4595400.0 0 0
455 4605400.0 4605400.0 4605400.0 0 0
456 4615400.0 4615400.0 4615400.0 0 0
457 4625400.0 4625400.0 4625400.0 0 0
458 4635075.0 4635075.0 4635075.0 0 0
459 4645075.0 4645075.0 4645075.0 0 0
460 4655375.0 4655375.0 4655375.0 0 0
461 4665375.0 4665375.0 4665375.0 0 0
462 4675375.0 4675375.0 4675375.0 0 0
463 4685375.0 4685375.0 4685375.0 0 0
464 4695375.0 4695375.0 4695375.0 0 0
465 4706000.0 4706000.0 4706000.0 0 0
466 4716000.0 4716000.0 4716000.0 0 0
467 4726000.0 4726000.0 4726000.0 0 0
468 4736000.0 4736000.0 4736000.0 0 0
469 4746000.0 4746000.0 4746000.0 0 0
470 4756000.0 4756000.0 4756000.0 0 0
471 4766000.0 4766000.0 4766000.0 0 0
472 4776000.0 4776000.0 4776000.0 0 0
473 4786000.0 4786000.0 4786000.0 0 0
474 4796000.0 4796000.0 4796000.0 0 0
475 4806000.0 4806000.0 4806000.0 0 0
476 4816000.0 4816000.0 4816000.0 0 0
477 4826000.0 4826000.0 4826000.0 0 0
478 4836000.0 4836000.0 4836000.0 0 0
479 4846000.0 4846000.0 4846000.0 0 0
480 4856000.0 4856000.0 4856000.0 0 0
481 4866625.0 4866625.0 4866625.0 0 0
482 4876625.0 4876625.0 4876625.0 0 0
483 4886625.0 4886625.0 4886625.0 0 0
484 4896625.0 4896625.0 4896625.0 0 0
485 4906625.0 4906625.0 4906625.0 0 0
486 4916625.0 4916625.0 4916625.0 0 0
487 4926300.0 4926300.0 4926300.0 0 0
488 4936300.0 4936300.0 4936300.0 0 0
489 4946300.0 4946300.0 4946300.0 0 0
490 4956300.0 4956300.0 4956300.0 0 0
491 4966300.0 4966300.0 4966300.0 0 0
492 4976300.0 4976300.0 4976300.0 0 0
493 4986300.0 4986300.0 4986300.0 0 0
494 4996300.0 4996300.0 4996300.0 0 0
495 5006300.0 5006300.0 5006300.0 0 0
496 5016275.0 5016275.0 5016275.0 0 0
497 5026275.0 5026275.0 5026275.0 0 0
498 5036275.0 5036275.0 5036275.0 0 0
