Time Mean Min Max StDev ConfidenceInterval
0 51198.0 37200.0 58500.0 5739.689570319667 1124.9791557826547
1 60939.0 47100.0 68400.0 5801.669822324667 1137.1272851756346
2 71058.0 57300.0 78600.0 5869.3378904887795 1150.3902265358006
3 81156.0 66900.0 90000.0 5916.307202055257 1159.5962116028304
4 91200.0 77400.0 100200.0 5905.92922409336 1157.5621279222985
5 101238.0 87000.0 110700.0 6028.028473118493 1181.4935807312245
6 109068.0 93000.0 120300.0 6006.408698593982 1177.2561049244205
7 110928.0 93000.0 123600.0 6653.928436372278 1304.1699735289665
8 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
9 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
10 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
11 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
12 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
13 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
14 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
15 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
16 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
17 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
18 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
19 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
20 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
21 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
22 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
23 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
24 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
25 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
26 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
27 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
28 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
29 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
30 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
31 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
32 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
33 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
34 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
35 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
36 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
37 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
38 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
39 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
40 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
41 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
42 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
43 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
44 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
45 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
46 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
47 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
48 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
49 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
50 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
51 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
52 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
53 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
54 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
55 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
56 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
57 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
58 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
59 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
60 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
61 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
62 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
63 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
64 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
65 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
66 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
67 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
68 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
69 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
70 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
71 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
72 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
73 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
74 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
75 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
76 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
77 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
78 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
79 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
80 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
81 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
82 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
83 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
84 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
85 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
86 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
87 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
88 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
89 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
90 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
91 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
92 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
93 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
94 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
95 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
96 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
97 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
98 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
99 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
100 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
101 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
102 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
103 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
104 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
105 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
106 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
107 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
108 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
109 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
110 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
111 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
112 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
113 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
114 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
115 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
116 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
117 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
118 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
119 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
120 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
121 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
122 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
123 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
124 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
125 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
126 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
127 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
128 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
129 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
130 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
131 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
132 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
133 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
134 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
135 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
136 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
137 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
138 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
139 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
140 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
141 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
142 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
143 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
144 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
145 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
146 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
147 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
148 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
149 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
150 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
151 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
152 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
153 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
154 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
155 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
156 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
157 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
158 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
159 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
160 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
161 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
162 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
163 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
164 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
165 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
166 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
167 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
168 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
169 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
170 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
171 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
172 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
173 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
174 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
175 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
176 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
177 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
178 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
179 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
180 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
181 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
182 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
183 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
184 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
185 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
186 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
187 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
188 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
189 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
190 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
191 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
192 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
193 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
194 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
195 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
196 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
197 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
198 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
199 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
200 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
201 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
202 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
203 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
204 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
205 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
206 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
207 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
208 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
209 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
210 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
211 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
212 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
213 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
214 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
215 110988.0 93000.0 123900.0 6702.770119340755 1313.7429433907878
