Time Mean Min Max StDev ConfidenceInterval
0 0.0375 0.03 0.045 0.004859126579037751 0.0030117178560490096
1 0.14650000000000002 0.135 0.155 0.008181958472422379 0.0050712304007782694
2 0.24500000000000002 0.24 0.255 0.005773502691896263 0.003578454042367088
3 0.3345 0.315 0.35 0.01065885130354631 0.0066064244826111755
4 0.42349999999999993 0.41 0.435 0.007835106182362113 0.0048562491241240496
5 0.511 0.495 0.52 0.008432740427115686 0.005226666666666671
6 0.602 0.59 0.615 0.007149203529842412 0.004431122255641845
7 0.6865 0.68 0.695 0.005797509043641983 0.003593333333333305
8 0.7625 0.755 0.775 0.006770032003863306 0.004196109309030612
9 0.8455 0.84 0.855 0.004377975178854569 0.0027134971285532397
10 0.9065 0.895 0.92 0.008514693182963209 0.005277461510991819
11 0.9640000000000001 0.96 0.97 0.0031622776601683824 0.0019600000000000017
12 0.998 0.995 1.0 0.0025819888974716134 0.0016003332986183443
13 1.0 1.0 1.0 0.0 0.0
14 1.0 1.0 1.0 0.0 0.0
15 1.0 1.0 1.0 0.0 0.0
