Time Mean Min Max StDev ConfidenceInterval
0 104.72727272727273 0.0 1152.0 347.3410689535837 205.26545454545453
1 197.8181818181818 0.0 2176.0 656.0886858012136 387.72363636363633
2 290.90909090909093 0.0 3200.0 964.8363026488436 570.1818181818182
3 497.09090909090907 0.0 3932.0 1164.548449360992 688.2041548338534
4 1074.5454545454545 0.0 5164.0 1511.4859154908697 893.2310953524081
5 1952.3636363636363 0.0 6164.0 1670.3785961707767 987.1306691113215
6 2872.3636363636365 128.0 6920.0 1730.546692391007 1022.6877417517314
7 3885.818181818182 1024.0 8176.0 1766.4811246193274 1043.9236341482183
8 4738.545454545455 2036.0 9176.0 1737.6437128270204 1026.8818128130818
9 5596.0 3188.0 10000.0 1750.8964561047007 1034.7136836052764
10 6567.636363636364 4164.0 10000.0 1487.2336247360247 878.898907395023
11 7455.636363636364 5152.0 10000.0 1267.253350575746 748.8988728394278
12 8266.181818181818 6164.0 10000.0 966.4539118014701 571.1377641026132
13 8905.09090909091 7164.0 10000.0 690.6323847815789 408.1376579311049
14 9090.90909090909 8000.0 10000.0 539.3598899705937 318.7413262472428
15 9090.90909090909 8000.0 10000.0 539.3598899705937 318.7413262472428
16 9090.90909090909 8000.0 10000.0 539.3598899705937 318.7413262472428
