time mean min max stdev
0 23.636363636363637 0.0 260.0 78.39294959021855
1 104.54545454545455 0.0 1150.0 346.7380462644282
2 104.54545454545455 0.0 1150.0 346.7380462644282
3 184.0 0.0 872.0 335.4471642449821
4 701.0 0.0 1150.0 424.74863154576497
5 1001.1818181818181 511.0 1150.0 183.62941931064213
6 967.3636363636364 0.0 1152.0 331.3536698837883
7 893.0909090909091 0.0 1140.0 336.7947311183637
8 775.2727272727273 347.0 1078.0 246.7160679441414
9 813.5454545454545 127.0 1278.0 328.87637909596475
10 967.1818181818181 0.0 1278.0 347.4466342279971
11 942.1818181818181 0.0 1152.0 321.9906266281111
12 874.8181818181819 0.0 1138.0 326.1232338186956
13 610.1818181818181 0.0 1080.0 446.1510547296326
14 85.45454545454545 0.0 592.0 197.79806047399134
15 0.0 0.0 0.0 0.0
16 0.0 0.0 0.0 0.0
