time mean min max stdev
0 58.18181818181818 0.0 640.0 192.96726052976874
1 162.9090909090909 0.0 1792.0 540.3083294833524
2 267.6363636363636 0.0 2944.0 887.6493984369362
3 451.6363636363636 0.0 3816.0 1142.6025794410998
4 1153.8181818181818 0.0 4896.0 1363.4067491531512
5 2156.3636363636365 512.0 5896.0 1410.6162676452639
6 3124.0 1536.0 6792.0 1409.2119783765677
7 4017.090909090909 2000.0 7932.0 1505.2325703721306
8 4793.454545454545 2640.0 8932.0 1583.553747975506
9 5608.363636363636 3384.0 10000.0 1694.5743579275165
10 6577.090909090909 4536.0 10000.0 1431.9933976485684
11 7519.272727272727 5664.0 10000.0 1171.512278288972
12 8395.272727272728 6676.0 10000.0 928.5426313216956
13 9005.454545454546 7500.0 10000.0 705.0702608444585
14 9090.90909090909 7500.0 10000.0 664.0098575390963
15 9090.90909090909 7500.0 10000.0 664.0098575390963
16 9090.90909090909 7500.0 10000.0 664.0098575390963
