time mean min max stdev confval
0 69.81818181818181 0.0 768.0 231.5607126357225 115.2
1 151.27272727272728 0.0 1664.0 501.71487737739864 249.59999999999997
2 267.6363636363636 0.0 2944.0 887.6493984369362 441.6
3 555.2727272727273 0.0 3932.0 1177.067295519597 585.5835858355322
4 1166.5454545454545 0.0 4908.0 1434.2912091786914 713.5508671426305
5 2023.2727272727273 0.0 5920.0 1665.5375763343852 828.5944822408607
6 2984.3636363636365 384.0 6792.0 1754.5346547006288 872.8699696976635
7 4012.7272727272725 1536.0 7908.0 1749.3475978723664 870.2894415078239
8 4929.090909090909 2548.0 8920.0 1715.3864552657196 853.393986386124
9 5881.454545454545 3676.0 10000.0 1801.53381115295 896.2517548099976
10 6806.545454545455 4560.0 10000.0 1565.495216449821 778.8240366090404
11 7660.363636363636 5664.0 10000.0 1370.46030754103 681.7953945282998
12 8352.727272727272 6652.0 10000.0 1119.2051725138774 556.7975430980276
13 8884.0 7500.0 10652.0 986.9808508780704 491.01677364424114
14 9090.90909090909 7500.0 11000.0 1044.465935734187 519.6152422706632
15 9090.90909090909 7500.0 11000.0 1044.465935734187 519.6152422706632
16 9090.90909090909 7500.0 11000.0 1044.465935734187 519.6152422706632
