time                          Optional[local:s-0]           Optional[local:l-0]           Optional[local:l-1]           Optional[local:l-2]           Optional[local:l-3]           Optional[local:l-4]           Optional[local:l-5]           Optional[local:l-6]           Optional[local:l-7]           Optional[local:l-8]           Optional[local:l-9]           
0.0                           260.0                         0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           
1.001                         1150.0                        0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           
2.002                         1150.0                        0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           
3.002                         872.0                         0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           384.0                         768.0                         0.0                           
4.003                         1078.0                        767.0                         1138.0                        767.0                         0.0                           511.0                         383.0                         0.0                           1150.0                        1022.0                        895.0                         
5.003                         1000.0                        1024.0                        860.0                         1022.0                        1022.0                        1022.0                        1150.0                        511.0                         1138.0                        1126.0                        1138.0                        
6.004                         895.0                         1126.0                        0.0                           1140.0                        1012.0                        1140.0                        1140.0                        1024.0                        1012.0                        1000.0                        1152.0                        
7.004                         1140.0                        1000.0                        0.0                           988.0                         1140.0                        1012.0                        1012.0                        1140.0                        848.0                         580.0                         964.0                         
8.005                         999.0                         963.0                         639.0                         1078.0                        975.0                         835.0                         811.0                         627.0                         871.0                         383.0                         347.0                         
9.006                         1066.0                        871.0                         743.0                         639.0                         603.0                         999.0                         511.0                         1102.0                        1010.0                        1278.0                        127.0                         
10.007                        0.0                           1022.0                        1150.0                        1278.0                        1150.0                        1138.0                        1150.0                        987.0                         987.0                         1010.0                        767.0                         
11.007                        0.0                           1140.0                        1128.0                        884.0                         1012.0                        1000.0                        1012.0                        1024.0                        1000.0                        1012.0                        1152.0                        
12.007                        0.0                           999.0                         1010.0                        1114.0                        999.0                         975.0                         999.0                         987.0                         591.0                         811.0                         1138.0                        
13.008                        0.0                           1080.0                        824.0                         580.0                         1080.0                        360.0                         824.0                         1000.0                        0.0                           0.0                           964.0                         
14.008                        0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           592.0                         0.0                           0.0                           348.0                         
15.01                         0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           
16.011                        0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           
