time                          Optional[local:s-0]           Optional[local:l-0]           Optional[local:l-1]           Optional[local:l-2]           Optional[local:l-3]           Optional[local:l-4]           Optional[local:l-5]           Optional[local:l-6]           Optional[local:l-7]           Optional[local:l-8]           Optional[local:l-9]           
0.0                           640.0                         0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           
1.002                         1792.0                        0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           
2.002                         2944.0                        0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           
3.002                         3816.0                        0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           384.0                         768.0                         0.0                           
4.003                         4896.0                        768.0                         1140.0                        768.0                         0.0                           512.0                         384.0                         0.0                           1536.0                        1792.0                        896.0                         
5.004                         5896.0                        1792.0                        2000.0                        1792.0                        1024.0                        1536.0                        1536.0                        512.0                         2676.0                        2920.0                        2036.0                        
6.004                         6792.0                        2920.0                        2000.0                        2932.0                        2036.0                        2676.0                        2676.0                        1536.0                        3688.0                        3920.0                        3188.0                        
7.004                         7932.0                        3920.0                        2000.0                        3920.0                        3176.0                        3688.0                        3688.0                        2676.0                        4536.0                        4500.0                        4152.0                        
8.005                         8932.0                        4884.0                        2640.0                        5000.0                        4152.0                        4524.0                        4500.0                        3304.0                        5408.0                        4884.0                        4500.0                        
9.006                         10000.0                       5756.0                        3384.0                        5640.0                        4756.0                        5524.0                        5012.0                        4408.0                        6420.0                        6164.0                        4628.0                        
10.007                        10000.0                       6780.0                        4536.0                        6920.0                        5908.0                        6664.0                        6164.0                        5396.0                        7408.0                        7176.0                        5396.0                        
11.007                        10000.0                       7920.0                        5664.0                        7804.0                        6920.0                        7664.0                        7176.0                        6420.0                        8408.0                        8188.0                        6548.0                        
12.008                        10000.0                       8920.0                        6676.0                        8920.0                        7920.0                        8640.0                        8176.0                        7408.0                        9000.0                        9000.0                        7688.0                        
13.008                        10000.0                       10000.0                       7500.0                        9500.0                        9000.0                        9000.0                        9000.0                        8408.0                        9000.0                        9000.0                        8652.0                        
14.008                        10000.0                       10000.0                       7500.0                        9500.0                        9000.0                        9000.0                        9000.0                        9000.0                        9000.0                        9000.0                        9000.0                        
15.01                         10000.0                       10000.0                       7500.0                        9500.0                        9000.0                        9000.0                        9000.0                        9000.0                        9000.0                        9000.0                        9000.0                        
16.011                        10000.0                       10000.0                       7500.0                        9500.0                        9000.0                        9000.0                        9000.0                        9000.0                        9000.0                        9000.0                        9000.0                        
