time Optional[local:l-0] Optional[local:l-1] Optional[local:l-2] Optional[local:l-3] Optional[local:l-4] Optional[local:l-5] Optional[local:l-6] Optional[local:l-7] Optional[local:l-8] Optional[local:l-9] 
0.0 400.0 400.0 300.0 400.0 300.0 400.0 400.0 450.0 350.0 350.0 
1.001 1500.0 1400.0 1366.0 1400.0 1432.0 1582.0 1400.0 1550.0 1582.0 1550.0 
2.003 2500.0 2432.0 2416.0 2400.0 2400.0 2550.0 2500.0 2500.0 2400.0 2450.0 
3.004 3450.0 3350.0 3250.0 3450.0 3350.0 3500.0 3250.0 3350.0 3350.0 3150.0 
4.005 4182.0 4116.0 4266.0 4282.0 4350.0 4350.0 4232.0 4266.0 4200.0 4250.0 
5.008 5150.0 5000.0 5150.0 5200.0 5200.0 5150.0 4950.0 5100.0 5050.0 5150.0 
6.008 6000.0 5900.0 6016.0 5950.0 6000.0 6100.0 6150.0 6082.0 6000.0 6050.0 
7.009 6850.0 6800.0 6900.0 6800.0 6900.0 6950.0 6950.0 6850.0 6800.0 6850.0 
8.009 7550.0 7650.0 7550.0 7600.0 7650.0 7650.0 7700.0 7600.0 7550.0 7750.0 
9.009 8450.0 8450.0 8482.0 8498.0 8466.0 8400.0 8432.0 8466.0 8500.0 8550.0 
10.011 9000.0 9000.0 8966.0 9098.0 9132.0 9050.0 9100.0 9200.0 9000.0 9200.0 
11.011 9600.0 9650.0 9600.0 9650.0 9700.0 9650.0 9632.0 9666.0 9650.0 9650.0 
12.012 10000.0 10000.0 10000.0 9950.0 9950.0 9950.0 10000.0 10000.0 9950.0 10000.0 
13.013 10000.0 10000.0 10000.0 10000.0 10000.0 10000.0 10000.0 10000.0 10000.0 10000.0 
14.013 10000.0 10000.0 10000.0 10000.0 10000.0 10000.0 10000.0 10000.0 10000.0 10000.0 
15.014 10000.0 10000.0 10000.0 10000.0 10000.0 10000.0 10000.0 10000.0 10000.0 10000.0 
