time Optional[local:l-0] Optional[local:l-1] Optional[local:l-2] Optional[local:l-3] Optional[local:l-4] Optional[local:l-5] Optional[local:l-6] Optional[local:l-7] Optional[local:l-8] Optional[local:l-9] 
0.0 57.0 0.0 58.0 58.0 0.0 59.0 59.0 59.0 62.0 63.0 
1.002 0.0 255.0 0.0 127.0 255.0 0.0 127.0 127.0 0.0 127.0 
2.003 255.0 0.0 255.0 127.0 127.0 127.0 127.0 0.0 127.0 0.0 
3.003 244.0 512.0 0.0 244.0 244.0 128.0 128.0 128.0 256.0 256.0 
4.005 510.0 499.0 1009.0 510.0 638.0 766.0 371.0 510.0 1009.0 754.0 
5.006 895.0 639.0 639.0 1022.0 1022.0 1754.0 1406.0 1510.0 895.0 883.0 
6.006 1152.0 1512.0 1024.0 1384.0 1128.0 1000.0 1268.0 768.0 1012.0 1396.0 
7.007 871.0 987.0 1486.0 1114.0 1010.0 627.0 1102.0 1602.0 1346.0 755.0 
8.008 1090.0 1114.0 731.0 603.0 1090.0 603.0 987.0 615.0 499.0 1218.0 
9.008 1000.0 628.0 744.0 1000.0 616.0 1256.0 744.0 1140.0 604.0 1128.0 
10.008 1512.0 628.0 1140.0 1140.0 1280.0 1268.0 1384.0 872.0 640.0 1140.0 
11.01 986.0 998.0 754.0 1137.0 1497.0 998.0 882.0 1137.0 1137.0 614.0 
12.01 500.0 1000.0 988.0 848.0 732.0 1104.0 1104.0 860.0 1628.0 1000.0 
13.011 603.0 975.0 1090.0 603.0 347.0 231.0 231.0 591.0 591.0 591.0 
14.011 244.0 244.0 0.0 0.0 0.0 0.0 0.0 0.0 116.0 0.0 
15.011 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
16.012 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
