Time Mean Min Max StDev ConfidenceInterval
0 224.72727272727272 171.0 423.0 70.7588735199917 41.81582206780839
1 888.7272727272727 698.0 1047.0 131.70276451851032 77.83136012458587
2 849.8181818181819 497.0 1044.0 178.51040203966724 105.49290622659056
3 898.6363636363636 599.0 1098.0 152.74833729194745 90.26849885546915
4 781.8181818181819 550.0 1000.0 161.64022901605787 95.52327106543893
5 812.0 499.0 999.0 177.46774354794732 104.87673443359373
6 717.8181818181819 496.0 1000.0 191.8654831812216 113.38525483158354
7 735.7272727272727 399.0 999.0 155.2347196403504 91.73785692607187
8 675.5454545454545 349.0 998.0 221.4399980294272 130.86267623633384
9 727.2727272727273 350.0 1050.0 231.69337103555245 136.92203246814083
10 518.1818181818181 100.0 1000.0 310.05864547914746 183.23295022890065
11 627.2727272727273 200.0 1000.0 251.3599375036089 148.54423055020368
12 329.90909090909093 49.0 739.0 250.6174194047391 148.1054303946911
13 41.81818181818182 0.0 460.0 138.69521850577127 81.96363636363637
14 0.0 0.0 0.0 0.0 0.0
15 0.0 0.0 0.0 0.0 0.0
