Time Mean Min Max StDev ConfidenceInterval
0 31.1 0.0 63.0 32.78702317821624 17.107475705082848
1 114.5 0.0 255.0 94.04047591920785 49.06804586490071
2 115.0 0.0 256.0 94.41751249988884 49.26477443366608
3 251.5 0.0 383.0 117.72213045982475 61.424560437987665
4 621.7 384.0 883.0 190.18181359483935 99.23227058270912
5 822.5 626.0 1137.0 209.21878500746533 109.16530183625197
6 1026.0 756.0 1396.0 241.94948967822924 126.24339190626966
7 1078.5 859.0 1358.0 187.07410890399083 97.61074543819444
8 941.5 487.0 1370.0 304.7469806613713 159.0096038766212
9 890.8 372.0 1756.0 451.9864304747802 235.83558764529153
10 1049.6 627.0 1382.0 277.92612927418924 145.0151323138382
11 931.4 511.0 1254.0 229.02750926471694 119.50101505845043
12 931.2 628.0 1372.0 243.3455704685554 126.97183309695104
13 885.1 475.0 1090.0 188.69814225076217 98.45812675955192
14 264.8 0.0 616.0 221.7490072632169 115.70326875244275
15 0.0 0.0 0.0 0.0 0.0
16 0.0 0.0 0.0 0.0 0.0
