time mean min max stdev
0 36.3 0.0 63.0 31.273169188796828
1 102.3 0.0 256.0 117.60012282684438
2 188.8 0.0 499.0 159.10360007100894
3 444.4 128.0 768.0 226.7250905097772
4 641.9 243.0 1138.0 365.5800413954059
5 843.3 510.0 1381.0 297.8847838417472
6 924.8 628.0 1408.0 275.45388805468775
7 1060.0 743.0 1370.0 220.0656467713416
8 960.4 616.0 1512.0 282.20370892908784
9 1111.2 487.0 1636.0 354.6490597133391
10 1015.8 627.0 1626.0 297.1130723778033
11 840.8 512.0 1512.0 317.48343788823587
12 741.6 359.0 1370.0 343.86017830249295
13 620.6 127.0 999.0 321.20440013590513
14 328.8 116.0 860.0 227.502771655888
15 85.7 0.0 499.0 165.94179032955435
16 0.0 0.0 0.0 0.0
17 0.0 0.0 0.0 0.0
