time mean min max stdev
0 76.8 0.0 128.0 66.09891577527326
1 179.2 128.0 256.0 66.09891577527324
2 368.8 256.0 756.0 171.34033708123462
3 813.2 628.0 1024.0 149.23866046630738
4 1456.4 1140.0 1908.0 301.2828866327754
5 2302.0 1780.0 2884.0 328.09348261331456
6 3226.8 2804.0 3524.0 243.17200131228557
7 4288.4 4024.0 4548.0 185.71615139478013
8 5248.8 4780.0 5792.0 415.71272131926236
9 6362.8 5676.0 7420.0 508.418200565899
10 7380.0 6524.0 8780.0 662.3406307264496
11 8220.8 7164.0 9396.0 585.835168323347
12 8963.6 8292.0 9756.0 441.147795843726
13 9585.2 9140.0 9884.0 300.50061933750186
14 9914.0 9500.0 10000.0 166.3436870525065
15 10000.0 10000.0 10000.0 0.0
16 10000.0 10000.0 10000.0 0.0
17 10000.0 10000.0 10000.0 0.0
