time Optional[local:s-0] Optional[local:l-0] Optional[local:l-1] Optional[local:l-2] Optional[local:l-3] Optional[local:l-4] Optional[local:l-5] Optional[local:l-6] Optional[local:l-7] Optional[local:l-8] Optional[local:l-9] 
0.0 640.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
1.001 1792.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
2.002 2944.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
3.003 3804.0 0.0 1024.0 0.0 0.0 0.0 0.0 384.0 0.0 0.0 256.0 
4.004 4920.0 0.0 2164.0 0.0 256.0 512.0 1024.0 1536.0 0.0 0.0 1280.0 
5.006 5920.0 512.0 3176.0 0.0 1280.0 1536.0 2036.0 2676.0 384.0 0.0 2420.0 
6.006 6920.0 1792.0 4152.0 128.0 2164.0 2676.0 3188.0 3688.0 1536.0 512.0 3444.0 
7.007 7932.0 2932.0 4884.0 896.0 3304.0 3688.0 4152.0 4500.0 2676.0 1536.0 4500.0 
8.007 8920.0 3932.0 5780.0 2164.0 4500.0 4500.0 4500.0 5268.0 3688.0 2676.0 4500.0 
9.008 10000.0 4804.0 6908.0 3048.0 5396.0 4756.0 4884.0 6420.0 4548.0 3688.0 4884.0 
10.009 10000.0 5896.0 7792.0 4152.0 6420.0 5908.0 6036.0 7420.0 5652.0 4536.0 6036.0 
11.01 10000.0 6908.0 8944.0 4500.0 7304.0 6920.0 7176.0 8420.0 6664.0 5420.0 6920.0 
12.01 10000.0 7920.0 9908.0 4500.0 8420.0 7932.0 8188.0 9256.0 7664.0 6536.0 8164.0 
13.011 10000.0 9000.0 10908.0 4500.0 9000.0 9000.0 9000.0 10500.0 8664.0 7652.0 9128.0 
14.011 10000.0 9000.0 11500.0 4500.0 9000.0 9000.0 9000.0 10500.0 9500.0 8500.0 9500.0 
15.013 10000.0 9000.0 11500.0 4500.0 9000.0 9000.0 9000.0 10500.0 9500.0 8500.0 9500.0 
16.013 10000.0 9000.0 11500.0 4500.0 9000.0 9000.0 9000.0 10500.0 9500.0 8500.0 9500.0 
