time mean min max stdev confval
0 0.0 0.0 0.0 0.0 0.0
1 0.0 0.0 0.0 0.0 0.0
2 0.0 0.0 0.0 0.0 0.0
3 0.015000000000000003 0.0 0.05 0.0241522945769824 0.01260208316112856
4 0.05500000000000001 0.0 0.15 0.03689323936863109 0.01925
5 0.08 0.05 0.15 0.042163702135578386 0.021999999999999995
6 0.125 0.05 0.2 0.0485912657903775 0.025353747257555438
7 0.26 0.15 0.35 0.061463629715285906 0.03207023542164914
8 0.48 0.4 0.55 0.053748384988657 0.028044607324760315
9 0.545 0.5 0.55 0.01581138830084191 0.008250000000000006
10 0.5850000000000001 0.55 0.65 0.04116363011742821 0.021478186608743288
11 0.635 0.55 0.8 0.07835106182362105 0.04088168905512588
12 0.795 0.7 0.9 0.059860949986893244 0.031233995901901505
13 0.985 0.95 1.0 0.024152294576982418 0.012602083161128569
14 1.0 1.0 1.0 0.0 0.0
15 1.0 1.0 1.0 0.0 0.0
16 1.0 1.0 1.0 0.0 0.0
