time mean min max stdev confval
0 37.54545454545455 0.0 413.0 124.52418531061637 61.95
1 92.9090909090909 0.0 1022.0 308.14459415847443 153.29999999999998
2 104.72727272727273 0.0 1152.0 347.3410689535837 172.8
3 205.8181818181818 0.0 987.0 345.50942626267613 171.88876926663937
4 583.6363636363636 0.0 1150.0 363.6501815556463 180.91368107470478
5 993.5454545454545 383.0 1150.0 224.1233426648655 111.49995515694164
6 1049.090909090909 756.0 1152.0 129.89954160462193 64.62420599125376
7 1004.5454545454545 579.0 1138.0 154.97507130913903 77.09912450864796
8 811.9090909090909 0.0 1126.0 304.1254525834543 151.30050231245104
9 764.2727272727273 255.0 1150.0 304.5574136050839 151.51540020737164
10 980.3636363636364 0.0 1280.0 341.8278141776274 170.05719038017767
11 941.7272727272727 0.0 1150.0 322.1350930616194 160.26018532374158
12 884.3636363636364 0.0 1128.0 305.3991724701535 151.93416995528028
13 539.4545454545455 0.0 1078.0 425.3998974227341 211.6337768410326
14 31.636363636363637 0.0 348.0 104.92594791306175 52.2
15 0.0 0.0 0.0 0.0 0.0
16 0.0 0.0 0.0 0.0 0.0
