Time Mean Min Max StDev ConfidenceInterval
0 81.45454545454545 0.0 896.0 270.1541647416762 134.4
1 162.9090909090909 0.0 1792.0 540.3083294833524 268.8
2 313.09090909090907 0.0 3188.0 956.5874193763427 475.89623238685135
3 600.7272727272727 0.0 4176.0 1250.9373358333414 622.3334668808998
4 1156.0 0.0 5176.0 1576.7602227352133 784.4283064754866
5 1894.1818181818182 0.0 6164.0 1797.3005212363246 894.1457196676613
6 2881.818181818182 128.0 7036.0 1942.3559827272559 966.3099006012512
7 3832.0 768.0 8164.0 1971.0602223169133 980.590079492955
8 4769.454545454545 2176.0 9152.0 1896.0027617931553 943.2494643518223
9 5633.090909090909 3176.0 10000.0 1898.4954808766574 944.4895764379827
10 6549.454545454545 4140.0 10000.0 1701.6032653727698 846.5369359927539
11 7441.818181818182 5128.0 10000.0 1524.0497247912758 758.2051648465604
12 8225.818181818182 6000.0 10396.0 1436.3446534994182 714.5724427935911
13 8834.181818181818 6000.0 11000.0 1548.9303288516123 770.5831090803899
14 8990.545454545454 6000.0 11000.0 1618.5744569612089 805.2306253490361
15 9090.90909090909 6000.0 11500.0 1743.8202576266542 867.5396244552751
16 9090.90909090909 6000.0 11500.0 1743.8202576266542 867.5396244552751
17 9090.90909090909 6000.0 11500.0 1743.8202576266542 867.5396244552751
