time                          Optional[local:l-0]           Optional[local:l-1]           Optional[local:l-2]           Optional[local:l-3]           Optional[local:l-4]           Optional[local:l-5]           Optional[local:l-6]           Optional[local:l-7]           Optional[local:l-8]           Optional[local:l-9]           
0.0                           56.0                          60.0                          122.0                         61.0                          61.0                          62.0                          62.0                          0.0                           63.0                          0.0                           
1.001                         0.0                           127.0                         0.0                           127.0                         127.0                         0.0                           127.0                         127.0                         0.0                           0.0                           
2.002                         255.0                         127.0                         243.0                         127.0                         127.0                         383.0                         0.0                           127.0                         255.0                         255.0                         
3.004                         882.0                         383.0                         383.0                         383.0                         499.0                         371.0                         383.0                         499.0                         371.0                         383.0                         
4.004                         512.0                         384.0                         1024.0                        1128.0                        756.0                         640.0                         896.0                         896.0                         1012.0                        896.0                         
5.006                         626.0                         1508.0                        626.0                         870.0                         1137.0                        1009.0                        754.0                         371.0                         614.0                         882.0                         
6.006                         744.0                         1128.0                        756.0                         372.0                         756.0                         1232.0                        1000.0                        896.0                         1280.0                        744.0                         
7.007                         1358.0                        987.0                         987.0                         1010.0                        615.0                         999.0                         859.0                         1358.0                        639.0                         627.0                         
8.009                         766.0                         870.0                         998.0                         1265.0                        998.0                         766.0                         1776.0                        882.0                         1113.0                        499.0                         
9.01                          1510.0                        1010.0                        999.0                         859.0                         1370.0                        871.0                         1090.0                        987.0                         627.0                         1614.0                        
10.011                        1102.0                        1370.0                        987.0                         615.0                         1870.0                        755.0                         615.0                         1254.0                        963.0                         487.0                         
11.012                        511.0                         743.0                         755.0                         1138.0                        999.0                         743.0                         627.0                         639.0                         1150.0                        1022.0                        
12.013                        987.0                         475.0                         743.0                         1102.0                        487.0                         1126.0                        255.0                         731.0                         859.0                         1218.0                        
13.013                        488.0                         256.0                         872.0                         744.0                         116.0                         732.0                         872.0                         732.0                         744.0                         640.0                         
14.013                        116.0                         488.0                         360.0                         116.0                         0.0                           232.0                         604.0                         488.0                         232.0                         720.0                         
15.014                        0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           
16.014                        0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           
