time Optional[local:s-0] Optional[local:l-0] Optional[local:l-1] Optional[local:l-2] Optional[local:l-3] Optional[local:l-4] Optional[local:l-5] Optional[local:l-6] Optional[local:l-7] Optional[local:l-8] Optional[local:l-9] 
0.0 258.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
1.002 1149.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
2.003 1150.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
3.005 998.0 0.0 0.0 0.0 0.0 510.0 0.0 0.0 510.0 0.0 0.0 
4.006 951.0 383.0 511.0 255.0 0.0 1022.0 511.0 639.0 1278.0 1022.0 0.0 
5.006 1000.0 1152.0 1280.0 1024.0 768.0 1140.0 1280.0 1152.0 1128.0 1140.0 768.0 
6.007 767.0 1138.0 1010.0 883.0 1266.0 1010.0 1010.0 1010.0 999.0 1010.0 1022.0 
7.007 1280.0 1012.0 1116.0 1268.0 1024.0 812.0 1116.0 1116.0 580.0 976.0 1128.0 
8.008 987.0 939.0 579.0 1066.0 1090.0 0.0 835.0 579.0 0.0 347.0 1010.0 
9.008 1068.0 1012.0 128.0 256.0 604.0 384.0 1024.0 384.0 768.0 512.0 976.0 
10.009 0.0 1022.0 1022.0 1150.0 1150.0 1150.0 1126.0 1150.0 1022.0 1278.0 999.0 
11.009 0.0 999.0 1010.0 999.0 999.0 1150.0 999.0 1138.0 1150.0 1138.0 1022.0 
12.01 0.0 988.0 884.0 1012.0 884.0 988.0 1092.0 1012.0 976.0 988.0 988.0 
13.01 0.0 348.0 1104.0 1080.0 1208.0 824.0 0.0 812.0 580.0 580.0 1080.0 
14.011 0.0 0.0 347.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
15.011 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
16.011 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
