Time Mean Min Max StDev ConfidenceInterval
0 102.4 0.0 128.0 53.96953873354034 33.45066666666666
1 192.0 128.0 256.0 67.46192341692543 41.81333333333333
2 320.0 256.0 384.0 67.46192341692543 41.81333333333333
3 546.8 384.0 640.0 84.3916794213479 52.306504817491124
4 1154.0 884.0 1396.0 183.58649187780674 113.78808654687887
5 2288.4 1908.0 2664.0 251.35685124274346 155.79259046137804
6 3452.8 2932.0 4164.0 350.72901853773726 217.3840978585549
7 4508.4 4176.0 4908.0 214.7987171490763 133.1336241959767
8 5316.8 5140.0 5524.0 144.5274291537 89.57902865688547
9 6182.0 5884.0 6524.0 231.29586632228813 143.35866318821164
10 7248.8 6780.0 7548.0 245.0128341309673 151.86052791807208
11 8262.8 7548.0 8768.0 364.4175870862681 225.8683605446126
12 9242.8 8780.0 9536.0 243.28163834444135 150.7875216528948
13 9853.6 9512.0 10000.0 190.75708811644893 118.23246814080582
14 10000.0 10000.0 10000.0 0.0 0.0
15 10000.0 10000.0 10000.0 0.0 0.0
16 10000.0 10000.0 10000.0 0.0 0.0
