Time Mean Min Max StDev ConfidenceInterval
0 0.0 0.0 0.0 0.0 0.0
1 0.0 0.0 0.0 0.0 0.0
2 0.0 0.0 0.0 0.0 0.0
3 0.01 0.0 0.05 0.021081851067789197 0.011
4 0.04 0.0 0.05 0.021081851067789197 0.011
5 0.075 0.05 0.15 0.035355339059327376 0.01844756081437326
6 0.14 0.05 0.25 0.07378647873726218 0.0385
7 0.26 0.15 0.35 0.06582805886043833 0.03434748899119119
8 0.445 0.4 0.5 0.036893239368631085 0.019249999999999993
9 0.53 0.5 0.55 0.025819888974716137 0.01347219358530749
10 0.595 0.55 0.65 0.028382310609877323 0.014809203219619878
11 0.65 0.6 0.75 0.04714045207910317 0.02459674775249768
12 0.76 0.65 0.8 0.051639777949432246 0.026944387170614967
13 0.985 0.95 1.0 0.024152294576982418 0.012602083161128569
14 1.0 1.0 1.0 0.0 0.0
15 1.0 1.0 1.0 0.0 0.0
16 1.0 1.0 1.0 0.0 0.0
