Time Mean Min Max StDev ConfidenceInterval
0 76.8 0.0 128.0 66.09891577527326 34.48881557838715
1 192.0 128.0 256.0 67.46192341692543 35.199999999999996
2 320.0 256.0 384.0 67.46192341692543 35.199999999999996
3 496.8 256.0 640.0 124.4050731369996 64.91155829280328
4 1180.8 884.0 1396.0 150.10277960265907 78.32
5 2286.0 1780.0 2780.0 355.4790195403005 185.48035475489039
6 3460.8 2804.0 3792.0 341.42602907999463 178.14784421934493
7 4545.6 4188.0 4908.0 220.72365829999586 115.1682664625981
8 5320.4 5024.0 5640.0 166.58077786934348 86.91782095749984
9 6196.0 5896.0 6652.0 249.22992508034736 130.0421470139585
10 7255.6 6768.0 7664.0 325.9199629084144 170.0571539218506
11 8189.6 7408.0 8548.0 414.72968438624105 216.39591863064328
12 9200.0 8420.0 9536.0 298.428476448806 155.71276119830384
13 9965.2 9884.0 10000.0 56.03332341859916 29.236832933818256
14 10000.0 10000.0 10000.0 0.0 0.0
15 10000.0 10000.0 10000.0 0.0 0.0
16 10000.0 10000.0 10000.0 0.0 0.0
