time                          Optional[local:l-0]           Optional[local:l-1]           Optional[local:l-2]           Optional[local:l-3]           Optional[local:l-4]           Optional[local:l-5]           Optional[local:l-6]           Optional[local:l-7]           Optional[local:l-8]           Optional[local:l-9]           
0.0                           128.0                         128.0                         128.0                         128.0                         128.0                         0.0                           128.0                         128.0                         0.0                           128.0                         
1.001                         128.0                         256.0                         256.0                         256.0                         256.0                         128.0                         256.0                         256.0                         128.0                         256.0                         
2.001                         256.0                         384.0                         256.0                         256.0                         384.0                         256.0                         384.0                         256.0                         384.0                         384.0                         
3.002                         384.0                         628.0                         884.0                         512.0                         628.0                         640.0                         640.0                         768.0                         512.0                         628.0                         
4.002                         884.0                         1012.0                        1640.0                        1896.0                        1268.0                        896.0                         1640.0                        1140.0                        1140.0                        1396.0                        
5.003                         2280.0                        2152.0                        2152.0                        2268.0                        2036.0                        2408.0                        2408.0                        2420.0                        2036.0                        2292.0                        
6.004                         4548.0                        3048.0                        2920.0                        3036.0                        2932.0                        3164.0                        3688.0                        2920.0                        3164.0                        3676.0                        
7.005                         5152.0                        3932.0                        4304.0                        4176.0                        3828.0                        4432.0                        4640.0                        4560.0                        4164.0                        4664.0                        
8.005                         6012.0                        5280.0                        5152.0                        5256.0                        5268.0                        5628.0                        5012.0                        5268.0                        5280.0                        5024.0                        
9.006                         6640.0                        5884.0                        6524.0                        5884.0                        5756.0                        6524.0                        5780.0                        5640.0                        5640.0                        6280.0                        
10.006                        7408.0                        6524.0                        6896.0                        7036.0                        7280.0                        7676.0                        6408.0                        6780.0                        6768.0                        6792.0                        
11.006                        8280.0                        7536.0                        7908.0                        7664.0                        7792.0                        8652.0                        7176.0                        8164.0                        8024.0                        7536.0                        
12.007                        8908.0                        8396.0                        8664.0                        8536.0                        8908.0                        9152.0                        8780.0                        8896.0                        8640.0                        8536.0                        
13.008                        9884.0                        9012.0                        9524.0                        9384.0                        9500.0                        9628.0                        9512.0                        9512.0                        9512.0                        9140.0                        
14.008                        10000.0                       9500.0                        9884.0                        9384.0                        9500.0                        9756.0                        9756.0                        10000.0                       9628.0                        9500.0                        
15.008                        10000.0                       10000.0                       10000.0                       9628.0                        9628.0                        10000.0                       10000.0                       10000.0                       10000.0                       9884.0                        
16.009                        10000.0                       10000.0                       10000.0                       10000.0                       10000.0                       10000.0                       10000.0                       10000.0                       10000.0                       10000.0                       
17.009                        10000.0                       10000.0                       10000.0                       10000.0                       10000.0                       10000.0                       10000.0                       10000.0                       10000.0                       10000.0                       
18.01                         10000.0                       10000.0                       10000.0                       10000.0                       10000.0                       10000.0                       10000.0                       10000.0                       10000.0                       10000.0                       
