Time Mean Min Max StDev ConfidenceInterval
0 30.5 0.0 63.0 32.17400607115419 19.941655564838808
1 115.2 0.0 256.0 112.07616457867688 69.46552649096287
2 138.8 0.0 383.0 112.0166654267718 69.42864853454466
3 341.0 127.0 627.0 157.20050890502867 97.4338848655846
4 559.8 127.0 883.0 242.07106394610653 150.0371998672329
5 900.4 512.0 1268.0 218.80849059292822 135.61890752480724
6 1058.0 755.0 1754.0 290.45328559186777 180.02481152453524
7 1001.8 743.0 1254.0 138.35766854224036 85.75497141144515
8 1001.2 744.0 1360.0 210.86952258578182 130.69828417474432
9 1006.7 743.0 1370.0 215.4339548188467 133.5273485828111
10 1048.0 628.0 1524.0 342.36303019520733 212.19880456255584
11 992.6 603.0 1334.0 242.74595774183348 150.45550337558277
12 852.3 487.0 1241.0 206.0027238223374 127.68181104953393
13 606.5 243.0 1218.0 279.4738111364124 173.21966275352355
14 192.0 0.0 475.0 151.24667122140426 93.74365803734256
15 109.2 0.0 372.0 135.45052397257254 83.95310453924726
16 0.0 0.0 0.0 0.0 0.0
17 0.0 0.0 0.0 0.0 0.0
