Time Mean Min Max StDev ConfidenceInterval
0 19.272727272727273 0.0 212.0 63.92040505048588 31.799999999999997
1 104.45454545454545 0.0 1149.0 346.43653491985043 172.35000000000002
2 116.18181818181819 0.0 1278.0 385.3314983703819 191.69999999999996
3 217.8181818181818 0.0 988.0 372.5774599145306 185.3549459820266
4 519.2727272727273 0.0 1024.0 439.8902342423825 218.84262838852942
5 924.0 0.0 1278.0 336.9516285759723 167.6313186728542
6 1010.9090909090909 756.0 1140.0 145.6800978483022 72.47493359776192
7 1003.5454545454545 579.0 1194.0 185.5485724204655 92.30924926571551
8 856.3636363636364 0.0 1230.0 405.0810468850086 201.52527633029064
9 830.6363636363636 255.0 1126.0 265.81846163397785 132.24301493840798
10 943.2727272727273 0.0 1152.0 328.3842538579129 163.3691035661272
11 931.2727272727273 0.0 1265.0 323.34597288634694 160.86259043046647
12 880.3636363636364 0.0 1126.0 328.9405030479745 163.6458340441332
13 642.7272727272727 0.0 1196.0 443.224568567468 220.50143877081615
14 53.63636363636363 0.0 590.0 177.89169330088052 88.49999999999999
15 0.0 0.0 0.0 0.0 0.0
16 0.0 0.0 0.0 0.0 0.0
