time mean min max stdev
0 0.0 0.0 0.0 0.0
1 0.0 0.0 0.0 0.0
2 0.0 0.0 0.0 0.0
3 0.015000000000000003 0.0 0.05 0.0241522945769824
4 0.035 0.0 0.05 0.024152294576982397
5 0.06000000000000001 0.0 0.1 0.03162277660168379
6 0.11500000000000002 0.05 0.2 0.05296749527356902
7 0.21000000000000002 0.1 0.35 0.08096638534327412
8 0.39 0.3 0.5 0.06582805886043834
9 0.52 0.45 0.6 0.0421637021355784
10 0.56 0.5 0.65 0.04594682917363407
11 0.635 0.55 0.75 0.0709068246206088
12 0.765 0.7 0.85 0.04743416490252571
13 0.95 0.85 1.0 0.05270462766947299
14 1.0 1.0 1.0 0.0
15 1.0 1.0 1.0 0.0
16 1.0 1.0 1.0 0.0
