time mean min max stdev confval
0 76.8 0.0 128.0 66.09891577527326 34.48881557838715
1 179.2 128.0 256.0 66.09891577527324 34.48881557838714
2 294.4 256.0 384.0 61.82987411707494 32.26133289248911
3 520.0 256.0 896.0 173.94762941120462 90.76166591683958
4 1169.2 1012.0 1408.0 156.80192742579553 81.81545330803955
5 2158.0 1652.0 2664.0 315.09716314531016 164.41007876647947
6 3290.0 2932.0 3792.0 263.4624156202255 137.46831634962288
7 4472.0 4164.0 4908.0 235.07540161498065 122.65665901205688
8 5208.8 4908.0 5640.0 218.12779129064077 113.81380584094356
9 6018.0 5652.0 6512.0 253.97287694205107 132.51690458201924
10 7058.0 6408.0 7536.0 324.05897954264776 169.08613781147167
11 7943.2 7420.0 8420.0 269.97152113180795 140.86461017587064
12 8811.6 8408.0 9292.0 264.08382507580177 137.79255277408862
13 9614.4 9140.0 9884.0 210.42348833826617 109.79388689722208
14 9939.6 9756.0 10000.0 103.30451210969548 53.90179588844883
15 10000.0 10000.0 10000.0 0.0 0.0
16 10000.0 10000.0 10000.0 0.0 0.0
17 10000.0 10000.0 10000.0 0.0 0.0
