time                          Optional[local:l-0]           Optional[local:l-1]           Optional[local:l-2]           Optional[local:l-3]           Optional[local:l-4]           Optional[local:l-5]           Optional[local:l-6]           Optional[local:l-7]           Optional[local:l-8]           Optional[local:l-9]           
0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           
1.003                         0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           
2.005                         0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           
3.005                         0.0                           0.0                           0.05                          0.0                           0.05                          0.0                           0.0                           0.0                           0.05                          0.0                           
4.006                         0.0                           0.05                          0.05                          0.0                           0.05                          0.05                          0.05                          0.05                          0.05                          0.0                           
5.007                         0.05                          0.1                           0.1                           0.0                           0.05                          0.05                          0.05                          0.05                          0.1                           0.05                          
6.008                         0.05                          0.1                           0.1                           0.05                          0.2                           0.15                          0.1                           0.1                           0.1                           0.2                           
7.009                         0.25                          0.15                          0.15                          0.35                          0.3                           0.15                          0.1                           0.25                          0.15                          0.25                          
8.01                          0.4                           0.4                           0.4                           0.5                           0.45                          0.3                           0.35                          0.3                           0.45                          0.35                          
9.012                         0.5                           0.5                           0.55                          0.6                           0.55                          0.5                           0.55                          0.45                          0.5                           0.5                           
10.012                        0.5                           0.55                          0.6                           0.65                          0.55                          0.5                           0.55                          0.6                           0.55                          0.55                          
11.013                        0.6                           0.55                          0.65                          0.7                           0.65                          0.55                          0.55                          0.65                          0.75                          0.7                           
12.014                        0.8                           0.75                          0.7                           0.8                           0.85                          0.8                           0.7                           0.75                          0.75                          0.75                          
13.014                        0.9                           0.85                          0.9                           1.0                           1.0                           1.0                           0.95                          1.0                           0.95                          0.95                          
14.014                        1.0                           1.0                           1.0                           1.0                           1.0                           1.0                           1.0                           1.0                           1.0                           1.0                           
15.015                        1.0                           1.0                           1.0                           1.0                           1.0                           1.0                           1.0                           1.0                           1.0                           1.0                           
16.015                        1.0                           1.0                           1.0                           1.0                           1.0                           1.0                           1.0                           1.0                           1.0                           1.0                           
