time                          Optional[local:s-0]           Optional[local:l-0]           Optional[local:l-1]           Optional[local:l-2]           Optional[local:l-3]           Optional[local:l-4]           Optional[local:l-5]           Optional[local:l-6]           Optional[local:l-7]           Optional[local:l-8]           Optional[local:l-9]           
0.0                           1000.0                        500.0                         500.0                         500.0                         500.0                         496.0                         488.0                         488.0                         488.0                         232.0                         232.0                         
1.003                         2000.0                        1332.0                        1032.0                        1032.0                        1200.0                        1288.0                        1256.0                        1264.0                        1500.0                        1292.0                        1232.0                        
2.004                         3000.0                        2328.0                        2020.0                        2024.0                        1900.0                        2156.0                        2260.0                        2256.0                        2496.0                        1956.0                        2232.0                        
3.004                         4000.0                        3332.0                        3024.0                        2956.0                        2332.0                        3088.0                        3200.0                        3292.0                        3500.0                        2700.0                        3032.0                        
4.005                         5000.0                        4328.0                        4024.0                        3900.0                        3260.0                        3832.0                        4200.0                        4292.0                        4500.0                        3400.0                        3932.0                        
5.006                         6000.0                        5332.0                        5024.0                        4500.0                        3828.0                        4428.0                        5156.0                        5288.0                        5488.0                        3964.0                        4924.0                        
6.007                         7000.0                        6332.0                        6024.0                        5452.0                        4232.0                        4928.0                        6148.0                        6260.0                        6496.0                        4800.0                        5932.0                        
7.008                         7976.0                        7332.0                        7048.0                        6100.0                        4500.0                        5924.0                        6800.0                        6800.0                        6800.0                        5400.0                        6932.0                        
8.009                         8980.0                        8300.0                        8044.0                        7000.0                        5400.0                        6924.0                        8024.0                        8024.0                        7984.0                        6200.0                        7832.0                        
9.01                          10000.0                       9300.0                        9048.0                        7992.0                        6100.0                        7932.0                        9032.0                        9020.0                        8988.0                        7400.0                        8832.0                        
10.011                        10000.0                       10100.0                       9900.0                        8800.0                        6500.0                        8300.0                        9700.0                        9700.0                        9400.0                        7900.0                        9700.0                        
11.012                        10000.0                       10100.0                       9900.0                        8800.0                        6500.0                        8300.0                        9700.0                        9700.0                        9400.0                        7900.0                        9700.0                        
12.013                        10000.0                       10100.0                       9900.0                        8800.0                        6500.0                        8300.0                        9700.0                        9700.0                        9400.0                        7900.0                        9700.0                        
