time                          Optional[local:l-0]           Optional[local:l-1]           Optional[local:l-2]           Optional[local:l-3]           Optional[local:l-4]           Optional[local:l-5]           Optional[local:l-6]           Optional[local:l-7]           Optional[local:l-8]           Optional[local:l-9]           
0.0                           450.0                         461.0                         447.0                         431.0                         384.0                         434.0                         200.0                         233.0                         156.0                         142.0                         
1.002                         598.0                         499.0                         734.0                         403.0                         407.0                         471.0                         1233.0                        894.0                         962.0                         1329.0                        
2.003                         727.0                         895.0                         727.0                         767.0                         867.0                         823.0                         659.0                         703.0                         959.0                         595.0                         
3.004                         995.0                         931.0                         835.0                         1022.0                        995.0                         1130.0                        863.0                         959.0                         1094.0                        1026.0                        
4.005                         939.0                         899.0                         931.0                         1002.0                        967.0                         771.0                         907.0                         1234.0                        843.0                         807.0                         
5.005                         1000.0                        1068.0                        1032.0                        1068.0                        1100.0                        1036.0                        1064.0                        968.0                         1032.0                        1032.0                        
6.006                         999.0                         1062.0                        971.0                         999.0                         1130.0                        1258.0                        967.0                         1062.0                        1030.0                        1062.0                        
7.006                         1060.0                        1032.0                        964.0                         1096.0                        992.0                         864.0                         1064.0                        936.0                         968.0                         1004.0                        
8.007                         935.0                         935.0                         1094.0                        1066.0                        1066.0                        903.0                         1030.0                        963.0                         1026.0                        1030.0                        
9.007                         1156.0                        1092.0                        1192.0                        1028.0                        1060.0                        1428.0                        1100.0                        1292.0                        1000.0                        1256.0                        
10.007                        584.0                         580.0                         548.0                         612.0                         584.0                         380.0                         676.0                         484.0                         744.0                         548.0                         
11.008                        0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           
12.009                        0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           
