time                          Optional[local:s-0]           Optional[local:l-0]           Optional[local:l-1]           Optional[local:l-2]           Optional[local:l-3]           Optional[local:l-4]           Optional[local:l-5]           Optional[local:l-6]           Optional[local:l-7]           Optional[local:l-8]           Optional[local:l-9]           
0.0                           403.0                         284.0                         245.0                         200.0                         200.0                         233.0                         421.0                         469.0                         282.0                         262.0                         231.0                         
1.003                         997.0                         997.0                         398.0                         697.0                         398.0                         853.0                         697.0                         697.0                         498.0                         841.0                         574.0                         
2.004                         979.0                         999.0                         999.0                         999.0                         991.0                         843.0                         99.0                          399.0                         99.0                          299.0                         1014.0                        
3.005                         995.0                         999.0                         987.0                         1010.0                        675.0                         599.0                         991.0                         999.0                         899.0                         699.0                         999.0                         
4.006                         1022.0                        995.0                         679.0                         755.0                         499.0                         731.0                         1006.0                        899.0                         899.0                         799.0                         1014.0                        
5.006                         1000.0                        996.0                         1000.0                        1000.0                        800.0                         1000.0                        900.0                         1000.0                        900.0                         800.0                         1004.0                        
6.007                         975.0                         995.0                         899.0                         983.0                         899.0                         867.0                         999.0                         899.0                         899.0                         1230.0                        899.0                         
7.007                         1000.0                        1012.0                        900.0                         968.0                         800.0                         800.0                         800.0                         800.0                         1200.0                        992.0                         708.0                         
8.007                         995.0                         979.0                         899.0                         979.0                         899.0                         699.0                         1198.0                        899.0                         899.0                         675.0                         931.0                         
9.008                         1028.0                        1032.0                        1080.0                        996.0                         956.0                         1224.0                        956.0                         1224.0                        1052.0                        1152.0                        904.0                         
10.008                        0.0                           156.0                         820.0                         372.0                         844.0                         876.0                         844.0                         476.0                         748.0                         448.0                         156.0                         
11.009                        0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           
12.01                         0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           
