time                          Optional[local:l-0]           Optional[local:l-1]           Optional[local:l-2]           Optional[local:l-3]           Optional[local:l-4]           Optional[local:l-5]           Optional[local:l-6]           Optional[local:l-7]           Optional[local:l-8]           Optional[local:l-9]           
0.0                           0.1                           0.1                           0.06                          0.03                          0.05                          0.06                          0.04                          0.03                          0.02                          0.02                          
1.005                         0.14                          0.12                          0.14                          0.16                          0.13                          0.15                          0.14                          0.15                          0.15                          0.14                          
2.005                         0.26                          0.25                          0.25                          0.22                          0.24                          0.24                          0.24                          0.22                          0.24                          0.23                          
3.006                         0.35                          0.33                          0.33                          0.35                          0.33                          0.36                          0.34                          0.35                          0.32                          0.32                          
4.007                         0.44                          0.43                          0.42                          0.43                          0.43                          0.44                          0.41                          0.44                          0.44                          0.44                          
5.008                         0.51                          0.53                          0.53                          0.51                          0.51                          0.51                          0.51                          0.52                          0.52                          0.52                          
6.01                          0.62                          0.6                           0.6                           0.61                          0.6                           0.61                          0.62                          0.62                          0.62                          0.62                          
7.011                         0.72                          0.71                          0.71                          0.72                          0.71                          0.7                           0.72                          0.7                           0.7                           0.69                          
8.011                         0.83                          0.81                          0.8                           0.82                          0.81                          0.82                          0.82                          0.78                          0.81                          0.8                           
9.012                         0.93                          0.94                          0.92                          0.93                          0.93                          0.93                          0.93                          0.93                          0.94                          0.94                          
10.014                        1.0                           1.0                           0.98                          1.0                           1.0                           0.99                          1.0                           0.99                          1.0                           1.0                           
11.015                        1.0                           1.0                           1.0                           1.0                           1.0                           1.0                           1.0                           1.0                           1.0                           1.0                           
12.016                        1.0                           1.0                           1.0                           1.0                           1.0                           1.0                           1.0                           1.0                           1.0                           1.0                           
13.016                        1.0                           1.0                           1.0                           1.0                           1.0                           1.0                           1.0                           1.0                           1.0                           1.0                           
