time                          Optional[local:l-0]           Optional[local:l-1]           Optional[local:l-2]           Optional[local:l-3]           Optional[local:l-4]           Optional[local:l-5]           Optional[local:l-6]           Optional[local:l-7]           Optional[local:l-8]           Optional[local:l-9]           
0.0                           764.0                         632.0                         364.0                         132.0                         100.0                         700.0                         800.0                         832.0                         900.0                         732.0                         
1.003                         1264.0                        1364.0                        1400.0                        1328.0                        1560.0                        1864.0                        1556.0                        1656.0                        1592.0                        1556.0                        
2.004                         2192.0                        2196.0                        2100.0                        2192.0                        2196.0                        2296.0                        2128.0                        2164.0                        2160.0                        2060.0                        
3.005                         3264.0                        3260.0                        3128.0                        3124.0                        3224.0                        3356.0                        3228.0                        3092.0                        3128.0                        3124.0                        
4.006                         3956.0                        4192.0                        4096.0                        4196.0                        4260.0                        4296.0                        4196.0                        4160.0                        4228.0                        4260.0                        
5.007                         5300.0                        5296.0                        5232.0                        5264.0                        5260.0                        5360.0                        5232.0                        5164.0                        5228.0                        5260.0                        
6.008                         6132.0                        6192.0                        6196.0                        6128.0                        6164.0                        6300.0                        6292.0                        6228.0                        6424.0                        6228.0                        
7.009                         7160.0                        7252.0                        7328.0                        7228.0                        7320.0                        7292.0                        7220.0                        7320.0                        7356.0                        7228.0                        
8.01                          8196.0                        8384.0                        8424.0                        8392.0                        8320.0                        8424.0                        8188.0                        8284.0                        8456.0                        8192.0                        
9.011                         9328.0                        9288.0                        9528.0                        9364.0                        9424.0                        9592.0                        9424.0                        9456.0                        9492.0                        9496.0                        
10.011                        10000.0                       10000.0                       10000.0                       10000.0                       9996.0                        9996.0                        9964.0                        9996.0                        9996.0                        9996.0                        
11.012                        10000.0                       10000.0                       10000.0                       10000.0                       10000.0                       10000.0                       10000.0                       10000.0                       10000.0                       10000.0                       
12.013                        10000.0                       10000.0                       10000.0                       10000.0                       10000.0                       10000.0                       10000.0                       10000.0                       10000.0                       10000.0                       
13.014                        10000.0                       10000.0                       10000.0                       10000.0                       10000.0                       10000.0                       10000.0                       10000.0                       10000.0                       10000.0                       
