time mean min max stdev confval
0 29.125 0.0 466.0 116.5 48.05625
1 63.875 0.0 1022.0 255.5 105.39375
2 63.875 0.0 1022.0 255.5 105.39375
3 63.875 0.0 1022.0 255.5 105.39375
4 56.5 0.0 904.0 226.0 93.225
5 127.75 0.0 1022.0 349.0794560936903 143.99527563864723
6 127.75 0.0 1022.0 349.0794560936903 143.99527563864723
7 127.75 0.0 1022.0 349.0794560936903 143.99527563864723
8 128.0 0.0 1024.0 349.76258614475427 144.27706678471114
9 112.875 0.0 903.0 308.4332180553839 127.22870244784586
10 256.0 0.0 1024.0 457.9467217919569 188.9030227391822
11 255.25 0.0 1021.0 456.60508100545707 188.34959591475103
12 255.5 0.0 1022.0 457.052294600957 188.53407152289475
13 312.0 0.0 1926.0 593.6005390833132 244.86022237186666
14 233.5 0.0 1024.0 418.55847859050715 172.6553724185842
15 510.625 0.0 1022.0 527.3713271184419 217.54067243635726
16 511.75 0.0 1024.0 528.5335057181018 218.02007110871696
17 512.0 0.0 1024.0 528.7913262021859 218.1264220584017
18 616.5625 0.0 1926.0 701.1605587643008 289.2287304902741
19 346.5 0.0 1024.0 462.8649911151199 190.93180883498695
20 63.8125 0.0 1021.0 255.25 105.29062499999999
21 63.875 0.0 1022.0 255.5 105.39375
22 64.0 0.0 1024.0 256.0 105.6
23 56.4375 0.0 903.0 225.75 93.12187499999999
24 0.0 0.0 0.0 0.0 0.0
25 0.0 0.0 0.0 0.0 0.0
