time                          Optional[local:l-0]           Optional[local:l-1]           Optional[local:l-2]           Optional[local:l-3]           Optional[local:l-4]           Optional[local:l-5]           Optional[local:l-6]           Optional[local:l-7]           Optional[local:l-8]           Optional[local:l-9]           Optional[local:l-10]          Optional[local:l-11]          Optional[local:l-12]          Optional[local:l-13]          Optional[local:l-14]          Optional[local:l-15]          
0.0                           0.0                           0.0                           0.0                           1024.0                        0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           
1.001                         0.0                           0.0                           0.0                           2048.0                        0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           
2.002                         0.0                           0.0                           0.0                           3072.0                        0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           
3.003                         0.0                           0.0                           0.0                           4096.0                        0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           
4.003                         0.0                           0.0                           0.0                           5000.0                        0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           
5.004                         0.0                           0.0                           0.0                           5000.0                        0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           1024.0                        1024.0                        
6.005                         0.0                           0.0                           0.0                           5000.0                        0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           2048.0                        2048.0                        
7.006                         0.0                           0.0                           0.0                           5000.0                        0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           3072.0                        3072.0                        
8.006                         0.0                           0.0                           0.0                           5000.0                        0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           4096.0                        4096.0                        
9.007                         0.0                           0.0                           0.0                           5000.0                        0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           5000.0                        5000.0                        
10.007                        1024.0                        1024.0                        1024.0                        5000.0                        0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           1024.0                        5000.0                        5000.0                        
11.009                        2048.0                        2048.0                        2048.0                        5000.0                        0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           2048.0                        5000.0                        5000.0                        
12.01                         3072.0                        3072.0                        3072.0                        5000.0                        0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           3072.0                        5000.0                        5000.0                        
13.011                        4096.0                        4096.0                        4096.0                        5000.0                        0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           5000.0                        5000.0                        5000.0                        
14.011                        5000.0                        5000.0                        5000.0                        5000.0                        1024.0                        0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           5000.0                        5000.0                        5000.0                        
15.013                        5000.0                        5000.0                        5000.0                        5000.0                        2048.0                        1024.0                        1024.0                        1024.0                        1024.0                        1024.0                        1024.0                        0.0                           1024.0                        5000.0                        5000.0                        5000.0                        
16.013                        5000.0                        5000.0                        5000.0                        5000.0                        3072.0                        2048.0                        2048.0                        2048.0                        2048.0                        2048.0                        2048.0                        0.0                           2048.0                        5000.0                        5000.0                        5000.0                        
17.013                        5000.0                        5000.0                        5000.0                        5000.0                        4096.0                        3072.0                        3072.0                        3072.0                        3072.0                        3072.0                        3072.0                        0.0                           3072.0                        5000.0                        5000.0                        5000.0                        
18.014                        5000.0                        5000.0                        5000.0                        5000.0                        5000.0                        5000.0                        4096.0                        4096.0                        5000.0                        4096.0                        4096.0                        0.0                           4096.0                        5000.0                        5000.0                        5000.0                        
19.014                        5000.0                        5000.0                        5000.0                        5000.0                        5000.0                        5000.0                        5000.0                        5000.0                        5000.0                        5000.0                        5000.0                        1024.0                        5000.0                        5000.0                        5000.0                        5000.0                        
20.016                        5000.0                        5000.0                        5000.0                        5000.0                        5000.0                        5000.0                        5000.0                        5000.0                        5000.0                        5000.0                        5000.0                        2048.0                        5000.0                        5000.0                        5000.0                        5000.0                        
21.017                        5000.0                        5000.0                        5000.0                        5000.0                        5000.0                        5000.0                        5000.0                        5000.0                        5000.0                        5000.0                        5000.0                        3072.0                        5000.0                        5000.0                        5000.0                        5000.0                        
22.017                        5000.0                        5000.0                        5000.0                        5000.0                        5000.0                        5000.0                        5000.0                        5000.0                        5000.0                        5000.0                        5000.0                        4096.0                        5000.0                        5000.0                        5000.0                        5000.0                        
23.018                        5000.0                        5000.0                        5000.0                        5000.0                        5000.0                        5000.0                        5000.0                        5000.0                        5000.0                        5000.0                        5000.0                        5000.0                        5000.0                        5000.0                        5000.0                        5000.0                        
24.018                        5000.0                        5000.0                        5000.0                        5000.0                        5000.0                        5000.0                        5000.0                        5000.0                        5000.0                        5000.0                        5000.0                        5000.0                        5000.0                        5000.0                        5000.0                        5000.0                        
25.019                        5000.0                        5000.0                        5000.0                        5000.0                        5000.0                        5000.0                        5000.0                        5000.0                        5000.0                        5000.0                        5000.0                        5000.0                        5000.0                        5000.0                        5000.0                        5000.0                        
