time                          Optional[local:l-0]           Optional[local:l-1]           Optional[local:l-2]           Optional[local:l-3]           Optional[local:l-4]           Optional[local:l-5]           Optional[local:l-6]           Optional[local:l-7]           Optional[local:l-8]           Optional[local:l-9]           Optional[local:l-10]          Optional[local:l-11]          Optional[local:l-12]          Optional[local:l-13]          Optional[local:l-14]          Optional[local:l-15]          
0.0                           0.0                           0.0                           0.0                           471.0                         0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           
1.003                         0.0                           0.0                           0.0                           1020.0                        0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           
2.003                         0.0                           0.0                           0.0                           1024.0                        0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           
3.005                         0.0                           0.0                           0.0                           1021.0                        0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           
4.006                         0.0                           0.0                           0.0                           903.0                         0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           
5.007                         0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           1022.0                        1022.0                        0.0                           
6.007                         0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           1024.0                        1024.0                        0.0                           
7.008                         0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           1022.0                        1022.0                        0.0                           
8.009                         0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           1022.0                        1022.0                        0.0                           
9.009                         0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           904.0                         904.0                         0.0                           
10.01                         0.0                           1022.0                        0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           1022.0                        1022.0                        0.0                           0.0                           1022.0                        
11.011                        0.0                           1022.0                        0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           1022.0                        1022.0                        0.0                           0.0                           1022.0                        
12.012                        0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           1022.0                        1022.0                        0.0                           0.0                           1022.0                        
13.012                        0.0                           1024.0                        0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           1024.0                        1928.0                        0.0                           0.0                           1024.0                        
14.013                        0.0                           1926.0                        1022.0                        0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           903.0                         0.0                           0.0                           0.0                           903.0                         
15.014                        1022.0                        0.0                           1022.0                        0.0                           1022.0                        0.0                           1022.0                        1022.0                        1022.0                        1022.0                        0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           
16.014                        1024.0                        0.0                           1024.0                        0.0                           1024.0                        1024.0                        1024.0                        1024.0                        1024.0                        1024.0                        0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           
17.015                        1022.0                        0.0                           1022.0                        0.0                           1022.0                        1022.0                        1022.0                        1022.0                        1022.0                        1022.0                        0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           
18.016                        1926.0                        0.0                           903.0                         0.0                           1926.0                        1022.0                        1926.0                        1022.0                        1022.0                        1022.0                        0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           
19.017                        0.0                           0.0                           0.0                           0.0                           0.0                           1926.0                        0.0                           903.0                         903.0                         903.0                         1022.0                        0.0                           0.0                           0.0                           0.0                           0.0                           
20.017                        0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           1024.0                        0.0                           0.0                           0.0                           0.0                           0.0                           
21.017                        0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           1024.0                        0.0                           0.0                           0.0                           0.0                           0.0                           
22.018                        0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           1022.0                        0.0                           0.0                           0.0                           0.0                           0.0                           
23.019                        0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           903.0                         0.0                           0.0                           0.0                           0.0                           0.0                           
24.02                         0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           
25.021                        0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           
