time mean min max stdev confval
0 24.352941176470587 0.0 414.0 100.40974876504185 40.18235294117647
1 59.94117647058823 0.0 1019.0 247.1438019120233 98.90294117647058
2 60.23529411764706 0.0 1024.0 248.35648003720496 99.38823529411764
3 60.05882352941177 0.0 1021.0 247.62887316209597 99.09705882352941
4 53.11764705882353 0.0 903.0 219.00966940780867 87.64411764705882
5 120.23529411764706 0.0 1022.0 339.4119048832415 135.82713951778848
6 120.47058823529412 0.0 1024.0 340.07611604739657 136.09294605304834
7 120.23529411764706 0.0 1022.0 339.4119048832415 135.82713951778848
8 120.23529411764706 0.0 1022.0 339.4119048832415 135.82713951778848
9 106.3529411764706 0.0 904.0 300.2234461980923 120.14455393745672
10 240.47058823529412 0.0 1022.0 446.85653705175037 178.82473870043896
11 240.47058823529412 0.0 1022.0 446.85653705175037 178.82473870043896
12 180.35294117647058 0.0 1022.0 401.59758172461494 160.7128388194878
13 294.11764705882354 0.0 1928.0 580.53443936955 232.32046712755806
14 279.6470588235294 0.0 1926.0 562.1018525561527 224.94404483724884
15 420.94117647058823 0.0 1024.0 518.6053979891931 207.5374691750665
16 481.6470588235294 0.0 1024.0 526.5867617468738 210.73148150362536
17 480.94117647058823 0.0 1022.0 525.8146620469321 210.42249972615443
18 634.0 0.0 1928.0 762.8200967462774 305.26823077514666
19 332.47058823529414 0.0 1924.0 575.9617085413598 230.49053441382034
20 60.23529411764706 0.0 1024.0 248.35648003720496 99.38823529411764
21 60.23529411764706 0.0 1024.0 248.35648003720496 99.38823529411764
22 60.11764705882353 0.0 1022.0 247.87140878713228 99.19411764705882
23 53.11764705882353 0.0 903.0 219.00966940780867 87.64411764705882
24 0.0 0.0 0.0 0.0 0.0
25 0.0 0.0 0.0 0.0 0.0
