time mean min max stdev confval
0 0.0 0.0 0.0 0.0 0.0
1 0.0 0.0 0.0 0.0 0.0
2 0.0 0.0 0.0 0.0 0.0
3 0.0 0.0 0.0 0.0 0.0
4 0.0625 0.0 1.0 0.25 0.103125
5 0.0625 0.0 1.0 0.25 0.103125
6 0.0625 0.0 1.0 0.25 0.103125
7 0.0625 0.0 1.0 0.25 0.103125
8 0.0625 0.0 1.0 0.25 0.103125
9 0.1875 0.0 1.0 0.4031128874149275 0.1662840660586576
10 0.1875 0.0 1.0 0.4031128874149275 0.1662840660586576
11 0.1875 0.0 1.0 0.4031128874149275 0.1662840660586576
12 0.1875 0.0 1.0 0.4031128874149275 0.1662840660586576
13 0.1875 0.0 1.0 0.4031128874149275 0.1662840660586576
14 0.4375 0.0 1.0 0.51234753829798 0.21134335954791672
15 0.4375 0.0 1.0 0.51234753829798 0.21134335954791672
16 0.4375 0.0 1.0 0.51234753829798 0.21134335954791672
17 0.4375 0.0 1.0 0.51234753829798 0.21134335954791672
18 0.5 0.0 1.0 0.5163977794943222 0.2130140840414079
19 0.9375 0.0 1.0 0.25 0.103125
20 0.9375 0.0 1.0 0.25 0.103125
21 0.9375 0.0 1.0 0.25 0.103125
22 0.9375 0.0 1.0 0.25 0.103125
23 1.0 1.0 1.0 0.0 0.0
24 1.0 1.0 1.0 0.0 0.0
25 1.0 1.0 1.0 0.0 0.0
