time mean min max stdev confval
0 60.23529411764706 0.0 1024.0 248.35648003720496 99.38823529411764
1 120.47058823529412 0.0 2048.0 496.7129600744099 198.77647058823527
2 180.7058823529412 0.0 3072.0 745.069440111615 298.16470588235296
3 240.94117647058823 0.0 4096.0 993.4259201488198 397.55294117647054
4 294.11764705882354 0.0 5000.0 1212.6781251816649 485.2941176470588
5 354.3529411764706 0.0 5000.0 1222.5473887122164 489.24363684545926
6 474.8235294117647 0.0 6024.0 1513.4832438490241 605.6714474727506
7 595.2941176470588 0.0 7048.0 1821.5225693326547 728.9437895369562
8 715.7647058823529 0.0 8072.0 2139.2898216876715 856.1090901608598
9 882.3529411764706 0.0 10000.0 2642.970699354622 1057.674008359134
10 1063.0588235294117 0.0 10000.0 2729.172596012119 1092.1706093196206
11 1304.0 0.0 11024.0 3068.8395200792106 1228.0998033787089
12 1544.9411764705883 0.0 12048.0 3433.379538999953 1373.982806589212
13 1785.8823529411766 0.0 13072.0 3815.6703520212695 1526.9693897041373
14 2119.0588235294117 0.0 15000.0 4328.04517753957 1732.0134848280766
15 2540.705882352941 0.0 15000.0 4449.070068069083 1780.4456831527998
16 3022.5882352941176 0.0 16024.0 4795.694098079332 1919.1589981751945
17 3504.470588235294 0.0 17048.0 5172.839429627203 2070.086443057416
18 3979.294117647059 0.0 18072.0 5572.865014567304 2230.17019425947
19 4472.0 0.0 20000.0 6104.8610139789425 2443.066364945785
20 4532.235294117647 0.0 20000.0 6126.1460104356365 2451.5842753129937
21 4592.470588235294 0.0 20000.0 6157.382866503096 2464.084758490304
22 4652.705882352941 0.0 20000.0 6198.421127237825 2480.5076048495116
23 4705.882352941177 0.0 20000.0 6242.642728467978 2498.2043724453747
24 4705.882352941177 0.0 20000.0 6242.642728467978 2498.2043724453747
25 4705.882352941177 0.0 20000.0 6242.642728467978 2498.2043724453747
