time mean min max stdev confval
0 0.0 0.0 0.0 0.0 0.0
1 64.0 0.0 1024.0 256.0 105.6
2 128.0 0.0 2048.0 512.0 211.2
3 192.0 0.0 3072.0 768.0 316.79999999999995
4 312.5 0.0 5000.0 1250.0 515.625
5 376.5 0.0 5000.0 1259.1145036625276 519.3847327607926
6 504.5 0.0 5000.0 1320.872338015046 544.8598394312064
7 632.5 0.0 5000.0 1465.8464676311319 604.6616678978419
8 760.5 0.0 5000.0 1672.5357195986378 689.920984334438
9 937.5 0.0 5000.0 2015.5644370746375 831.4203302932879
10 1129.5 0.0 5000.0 1961.8597299501307 809.2671386044289
11 1385.5 0.0 5000.0 1964.988956711971 810.557944643688
12 1641.5 0.0 5000.0 2071.931466048045 854.6717297448185
13 1954.0 0.0 5000.0 2336.6893959902613 963.8843758459827
14 2251.5 0.0 5000.0 2515.823788211991 1037.7773126374464
15 2699.5 0.0 5000.0 2143.0345463073304 884.0017503517737
16 3211.5 0.0 5000.0 1744.168722725337 719.4695981242014
17 3723.5 0.0 5000.0 1432.093758569366 590.7386754098634
18 4284.5 0.0 5000.0 1280.9428818907838 528.3889387799483
19 4751.5 1024.0 5000.0 994.0 410.025
20 4815.5 2048.0 5000.0 738.0 304.425
21 4879.5 3072.0 5000.0 482.0 198.825
22 4943.5 4096.0 5000.0 226.0 93.225
23 5000.0 5000.0 5000.0 0.0 0.0
24 5000.0 5000.0 5000.0 0.0 0.0
25 5000.0 5000.0 5000.0 0.0 0.0
