time Optional[EmptySocketAddress@77e19f90-ec82-4092-9541-6084ddf356d0] Optional[EmptySocketAddress@969fa4bd-4ec5-4cac-ad9b-f46f253e7d38] 
0.0 0.0 0.0 
1.001 0.0 0.0 
2.002 0.0 0.0 
3.003 0.0 0.0 
4.004 2045.0 2045.0 
5.004 0.0 0.0 
6.005 2045.0 0.0 
7.005 0.0 0.0 
8.006 0.0 2045.0 
9.007 0.0 0.0 
10.008 2045.0 0.0 
11.008 0.0 0.0 
12.008 0.0 0.0 
13.01 2043.0 0.0 
14.01 0.0 2048.0 
15.012 0.0 0.0 
16.013 1806.0 0.0 
17.015 0.0 0.0 
18.016 0.0 2045.0 
19.017 0.0 1806.0 
20.017 0.0 0.0 
21.018 0.0 0.0 
