time Optional[EmptySocketAddress@77e19f90-ec82-4092-9541-6084ddf356d0] Optional[EmptySocketAddress@969fa4bd-4ec5-4cac-ad9b-f46f253e7d38] 
0.0 0.0 0.0 
1.001 0.0 0.0 
2.002 0.0 0.0 
3.003 0.0 0.0 
4.004 2048.0 2048.0 
5.004 2048.0 2048.0 
6.005 4096.0 2048.0 
7.005 4096.0 2048.0 
8.006 4096.0 4096.0 
9.007 4096.0 4096.0 
10.008 6144.0 4096.0 
11.008 6144.0 4096.0 
12.008 6144.0 4096.0 
13.01 8192.0 4096.0 
14.01 8192.0 6144.0 
15.012 8192.0 6144.0 
16.013 10000.0 6144.0 
17.015 10000.0 6144.0 
18.016 10000.0 8192.0 
19.017 10000.0 10000.0 
20.017 10000.0 10000.0 
21.018 10000.0 10000.0 
