time Optional[EmptySocketAddress@c5b8a872-0168-40ca-837f-283e879b59c4] Optional[EmptySocketAddress@86ee9f34-7655-484a-856c-53d4067eec08] 
0.0 0.0 0.0 
1.001 0.0 0.0 
2.002 0.0 0.0 
3.004 0.0 2043.0 
4.005 2045.0 0.0 
5.006 0.0 0.0 
6.007 0.0 2045.0 
7.008 0.0 0.0 
8.009 2045.0 0.0 
9.009 0.0 0.0 
10.01 0.0 2045.0 
11.011 0.0 0.0 
12.012 2045.0 0.0 
13.013 0.0 0.0 
14.014 0.0 0.0 
15.014 0.0 0.0 
16.014 2048.0 2048.0 
17.015 0.0 0.0 
18.016 0.0 1806.0 
19.016 1808.0 0.0 
20.017 0.0 0.0 
21.017 0.0 0.0 
