time mean min max stdev confval
0 0.0 0.0 0.0 0.0 0.0
1 0.0 0.0 0.0 0.0 0.0
2 0.0 0.0 0.0 0.0 0.0
3 1021.5 0.0 2043.0 1444.6191539641165 1685.4749999999997
4 1022.5 0.0 2045.0 1446.0333675264897 1687.1249999999998
5 0.0 0.0 0.0 0.0 0.0
6 1022.5 0.0 2045.0 1446.0333675264897 1687.1249999999998
7 0.0 0.0 0.0 0.0 0.0
8 1022.5 0.0 2045.0 1446.0333675264897 1687.1249999999998
9 0.0 0.0 0.0 0.0 0.0
10 1022.5 0.0 2045.0 1446.0333675264897 1687.1249999999998
11 0.0 0.0 0.0 0.0 0.0
12 1022.5 0.0 2045.0 1446.0333675264897 1687.1249999999998
13 0.0 0.0 0.0 0.0 0.0
14 0.0 0.0 0.0 0.0 0.0
15 0.0 0.0 0.0 0.0 0.0
16 2048.0 2048.0 2048.0 0.0 0.0
17 0.0 0.0 0.0 0.0 0.0
18 903.0 0.0 1806.0 1277.034846822905 1489.95
19 904.0 0.0 1808.0 1278.449060385278 1491.5999999999997
20 0.0 0.0 0.0 0.0 0.0
21 0.0 0.0 0.0 0.0 0.0
