time Optional[EmptySocketAddress@c5b8a872-0168-40ca-837f-283e879b59c4] Optional[EmptySocketAddress@86ee9f34-7655-484a-856c-53d4067eec08] 
0.0 0.0 0.0 
1.001 0.0 0.0 
2.002 0.0 0.0 
3.004 0.0 2048.0 
4.005 2048.0 2048.0 
5.006 2048.0 2048.0 
6.007 2048.0 4096.0 
7.008 2048.0 4096.0 
8.009 4096.0 4096.0 
9.009 4096.0 4096.0 
10.01 4096.0 6144.0 
11.011 4096.0 6144.0 
12.012 6144.0 6144.0 
13.013 6144.0 6144.0 
14.014 6144.0 6144.0 
15.014 6144.0 6144.0 
16.014 8192.0 8192.0 
17.015 8192.0 8192.0 
18.016 8192.0 10000.0 
19.016 10000.0 10000.0 
20.017 10000.0 10000.0 
21.017 10000.0 10000.0 
