time Optional[EmptySocketAddress@4c74fca1-a86d-4f51-9690-7feb42d99d63] Optional[EmptySocketAddress@2b4f97e7-1776-4055-b68c-2e416e86dd4d] 
0.0 0.0 0.0 
1.001 0.0 0.0 
2.002 0.0 0.0 
3.003 2045.0 0.0 
4.003 0.0 2048.0 
5.004 0.0 0.0 
6.004 2048.0 0.0 
7.005 0.0 0.0 
8.006 0.0 2045.0 
9.006 0.0 0.0 
10.007 2045.0 0.0 
11.009 0.0 0.0 
12.009 0.0 0.0 
13.009 0.0 0.0 
14.01 2045.0 2045.0 
15.01 0.0 0.0 
16.011 1806.0 0.0 
17.012 0.0 0.0 
18.012 0.0 2048.0 
19.014 0.0 1804.0 
20.014 0.0 0.0 
21.015 0.0 0.0 
