time mean min max stdev confval
0 0.0 0.0 0.0 0 0
1 0.0 0.0 0.0 0 0
2 0.0 0.0 0.0 0 0
3 2048.0 2048.0 2048.0 0 0
4 4096.0 4096.0 4096.0 0 0
5 4096.0 4096.0 4096.0 0 0
6 6144.0 6144.0 6144.0 0 0
7 6144.0 6144.0 6144.0 0 0
8 8192.0 8192.0 8192.0 0 0
9 8192.0 8192.0 8192.0 0 0
10 10240.0 10240.0 10240.0 0 0
11 10240.0 10240.0 10240.0 0 0
12 10240.0 10240.0 10240.0 0 0
13 10240.0 10240.0 10240.0 0 0
14 14336.0 14336.0 14336.0 0 0
15 14336.0 14336.0 14336.0 0 0
16 16144.0 16144.0 16144.0 0 0
17 16144.0 16144.0 16144.0 0 0
18 18192.0 18192.0 18192.0 0 0
19 20000.0 20000.0 20000.0 0 0
20 20000.0 20000.0 20000.0 0 0
21 20000.0 20000.0 20000.0 0 0
