time Optional[EmptySocketAddress@4c74fca1-a86d-4f51-9690-7feb42d99d63] Optional[EmptySocketAddress@2b4f97e7-1776-4055-b68c-2e416e86dd4d] 
0.0 0.0 0.0 
1.001 0.0 0.0 
2.002 0.0 0.0 
3.003 2048.0 0.0 
4.003 2048.0 2048.0 
5.004 2048.0 2048.0 
6.004 4096.0 2048.0 
7.005 4096.0 2048.0 
8.006 4096.0 4096.0 
9.006 4096.0 4096.0 
10.007 6144.0 4096.0 
11.009 6144.0 4096.0 
12.009 6144.0 4096.0 
13.009 6144.0 4096.0 
14.01 8192.0 6144.0 
15.01 8192.0 6144.0 
16.011 10000.0 6144.0 
17.012 10000.0 6144.0 
18.012 10000.0 8192.0 
19.014 10000.0 10000.0 
20.014 10000.0 10000.0 
21.015 10000.0 10000.0 
