time Optional[EmptySocketAddress@5f7dd794-8175-4316-98ce-b91db8240e90] Optional[EmptySocketAddress@dc50ba23-9e9d-4906-994f-f68cb6ba40a1] 
0.0 0.0 0.0 
1.001 0.0 0.0 
2.002 0.0 0.0 
3.003 2045.0 0.0 
4.004 0.0 2045.0 
5.005 0.0 0.0 
6.006 0.0 0.0 
7.006 0.0 2048.0 
8.007 2045.0 0.0 
9.007 0.0 0.0 
10.008 0.0 2045.0 
11.009 0.0 0.0 
12.01 2045.0 0.0 
13.011 0.0 0.0 
14.012 0.0 0.0 
15.013 0.0 0.0 
16.014 2045.0 2045.0 
17.014 0.0 0.0 
18.016 0.0 0.0 
19.016 1808.0 1808.0 
20.017 0.0 0.0 
21.018 0.0 0.0 
