time Optional[EmptySocketAddress@5f7dd794-8175-4316-98ce-b91db8240e90] Optional[EmptySocketAddress@dc50ba23-9e9d-4906-994f-f68cb6ba40a1] 
0.0 0.0 0.0 
1.001 0.0 0.0 
2.002 0.0 0.0 
3.003 2048.0 0.0 
4.004 2048.0 2048.0 
5.005 2048.0 2048.0 
6.006 2048.0 2048.0 
7.006 2048.0 4096.0 
8.007 4096.0 4096.0 
9.007 4096.0 4096.0 
10.008 4096.0 6144.0 
11.009 4096.0 6144.0 
12.01 6144.0 6144.0 
13.011 6144.0 6144.0 
14.012 6144.0 6144.0 
15.013 6144.0 6144.0 
16.014 8192.0 8192.0 
17.014 8192.0 8192.0 
18.016 8192.0 8192.0 
19.016 10000.0 10000.0 
20.017 10000.0 10000.0 
21.018 10000.0 10000.0 
