time Optional[EmptySocketAddress@ba8f0a23-90bd-4cdd-b9b4-ccd6a90061dc] Optional[EmptySocketAddress@81228a65-e0c7-420c-b49b-399d20495ff6] 
0.0 0.0 0.0 
1.001 0.0 0.0 
2.001 0.0 0.0 
3.002 2048.0 0.0 
4.002 2048.0 2048.0 
5.004 2048.0 2048.0 
6.004 4096.0 2048.0 
7.005 4096.0 2048.0 
8.007 4096.0 4096.0 
9.008 4096.0 4096.0 
10.01 6144.0 4096.0 
11.01 6144.0 4096.0 
12.01 6144.0 4096.0 
13.011 6144.0 6144.0 
14.012 8192.0 6144.0 
15.013 8192.0 6144.0 
16.014 8192.0 6144.0 
17.014 8192.0 8192.0 
18.015 10000.0 8192.0 
19.016 10000.0 10000.0 
20.016 10000.0 10000.0 
21.018 10000.0 10000.0 
