time Optional[local:sl-0] Optional[local:sl-1] Optional[local:sl-2] Optional[local:sl-3] Optional[local:sl-4] Optional[local:sl-5] Optional[local:sl-6] Optional[local:sl-7] Optional[local:sl-8] Optional[local:sl-9] 
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
1.006 646.0 695.0 745.0 646.0 745.0 646.0 695.0 596.0 695.0 646.0 
2.012 994.0 994.0 944.0 994.0 894.0 1043.0 944.0 1043.0 944.0 894.0 
3.015 947.0 847.0 997.0 997.0 997.0 897.0 997.0 897.0 897.0 1096.0 
4.017 948.0 1047.0 748.0 998.0 798.0 848.0 848.0 998.0 1047.0 848.0 
5.018 899.0 949.0 1048.0 949.0 1098.0 1048.0 1098.0 1048.0 899.0 1098.0 
6.019 1048.0 1048.0 999.0 849.0 1048.0 999.0 799.0 899.0 899.0 799.0 
7.026 1042.0 943.0 1042.0 1042.0 943.0 943.0 993.0 1042.0 1042.0 1241.0 
8.029 1046.0 897.0 847.0 947.0 897.0 1046.0 1046.0 997.0 1046.0 847.0 
9.03 999.0 1148.0 1098.0 999.0 1098.0 1048.0 949.0 999.0 999.0 949.0 
10.03 900.0 900.0 1100.0 950.0 850.0 1000.0 1150.0 1000.0 1150.0 1200.0 
11.032 1097.0 948.0 898.0 1047.0 1197.0 998.0 998.0 898.0 948.0 948.0 
12.032 850.0 1100.0 1000.0 900.0 900.0 950.0 900.0 1150.0 850.0 900.0 
13.032 950.0 950.0 1000.0 1100.0 1000.0 950.0 1100.0 800.0 1100.0 950.0 
14.034 1197.0 998.0 1047.0 1047.0 1047.0 948.0 1047.0 1047.0 898.0 898.0 
15.036 898.0 898.0 898.0 948.0 948.0 1047.0 898.0 1197.0 1097.0 1197.0 
16.036 1000.0 1150.0 1100.0 850.0 950.0 1000.0 950.0 850.0 950.0 950.0 
17.036 1050.0 900.0 900.0 1150.0 1050.0 1000.0 1000.0 1050.0 1000.0 1000.0 
18.037 849.0 1048.0 1048.0 899.0 949.0 999.0 999.0 899.0 1098.0 999.0 
19.037 1050.0 950.0 1050.0 1050.0 1000.0 1050.0 1100.0 900.0 800.0 950.0 
20.038 849.0 899.0 949.0 1098.0 1098.0 799.0 899.0 1248.0 1198.0 999.0 
21.039 1148.0 999.0 999.0 999.0 849.0 1148.0 949.0 899.0 649.0 749.0 
22.04 1098.0 999.0 799.0 899.0 1048.0 999.0 899.0 999.0 1148.0 1248.0 
23.04 900.0 1100.0 1000.0 1000.0 950.0 1100.0 1150.0 1050.0 1050.0 950.0 
24.041 1048.0 949.0 1148.0 1098.0 1048.0 949.0 899.0 949.0 949.0 1098.0 
25.042 849.0 899.0 1048.0 899.0 999.0 1048.0 1048.0 1098.0 1098.0 999.0 
26.043 1048.0 1248.0 1048.0 1048.0 1148.0 999.0 1098.0 799.0 899.0 849.0 
27.044 999.0 899.0 799.0 1098.0 899.0 949.0 849.0 1148.0 1048.0 1048.0 
28.044 1050.0 1000.0 900.0 800.0 1050.0 950.0 1050.0 850.0 1000.0 1100.0 
29.045 1048.0 1148.0 1148.0 1098.0 899.0 1048.0 999.0 1148.0 899.0 949.0 
30.046 899.0 949.0 1048.0 999.0 999.0 949.0 999.0 1048.0 949.0 999.0 
31.047 1148.0 899.0 999.0 949.0 1148.0 949.0 1098.0 899.0 1148.0 1048.0 
32.048 1048.0 1048.0 949.0 1098.0 999.0 999.0 899.0 949.0 999.0 949.0 
33.049 849.0 949.0 1098.0 999.0 799.0 999.0 999.0 949.0 949.0 1048.0 
34.05 1048.0 1098.0 1048.0 949.0 949.0 849.0 1048.0 1148.0 849.0 899.0 
35.051 949.0 899.0 949.0 949.0 1148.0 1248.0 999.0 999.0 1198.0 1198.0 
36.051 1150.0 1100.0 1000.0 1100.0 950.0 950.0 950.0 950.0 1000.0 850.0 
37.052 849.0 899.0 899.0 999.0 1048.0 949.0 1098.0 1048.0 999.0 999.0 
38.053 999.0 999.0 1098.0 999.0 899.0 1098.0 899.0 949.0 999.0 1098.0 
39.053 950.0 1100.0 900.0 1050.0 1150.0 800.0 1050.0 1000.0 950.0 850.0 
40.054 999.0 999.0 999.0 999.0 949.0 1198.0 949.0 999.0 999.0 1098.0 
41.055 599.0 449.0 599.0 449.0 499.0 499.0 599.0 499.0 599.0 499.0 
42.055 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
43.055 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
