time Optional[local:l-0] Optional[local:l-1] Optional[local:l-2] Optional[local:l-3] Optional[local:l-4] Optional[local:l-5] Optional[local:l-6] Optional[local:l-7] Optional[local:l-8] Optional[local:l-9] 
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
1.036 627.0 627.0 627.0 579.0 579.0 675.0 627.0 627.0 579.0 337.0 
2.04 697.0 896.0 996.0 796.0 946.0 697.0 1095.0 996.0 1045.0 996.0 
3.041 749.0 1098.0 1098.0 999.0 1048.0 949.0 949.0 999.0 899.0 999.0 
4.042 849.0 949.0 949.0 999.0 999.0 799.0 1048.0 949.0 599.0 999.0 
5.042 850.0 1050.0 650.0 1000.0 850.0 600.0 1000.0 900.0 750.0 950.0 
6.043 699.0 999.0 899.0 999.0 1048.0 749.0 899.0 549.0 1098.0 949.0 
7.044 1248.0 549.0 999.0 999.0 799.0 999.0 1098.0 699.0 749.0 899.0 
8.045 849.0 949.0 999.0 999.0 1148.0 599.0 999.0 449.0 649.0 649.0 
9.046 949.0 1098.0 999.0 999.0 999.0 299.0 999.0 1048.0 1148.0 949.0 
10.048 748.0 798.0 948.0 998.0 548.0 998.0 998.0 948.0 998.0 748.0 
11.049 999.0 899.0 999.0 899.0 1048.0 949.0 999.0 799.0 749.0 899.0 
12.05 699.0 749.0 999.0 949.0 999.0 999.0 899.0 999.0 1198.0 949.0 
13.051 699.0 649.0 999.0 1098.0 999.0 849.0 849.0 799.0 799.0 999.0 
14.052 999.0 949.0 999.0 999.0 849.0 799.0 1198.0 949.0 899.0 649.0 
15.053 999.0 749.0 999.0 949.0 999.0 799.0 799.0 599.0 849.0 949.0 
16.055 698.0 848.0 998.0 948.0 998.0 798.0 748.0 1147.0 898.0 898.0 
17.056 849.0 649.0 949.0 1048.0 999.0 999.0 1098.0 949.0 799.0 899.0 
18.056 650.0 950.0 899.0 999.0 999.0 849.0 999.0 949.0 749.0 899.0 
19.059 1146.0 1146.0 948.0 998.0 898.0 598.0 898.0 698.0 848.0 998.0 
20.059 900.0 900.0 700.0 1000.0 750.0 900.0 800.0 1050.0 600.0 1000.0 
21.06 699.0 949.0 799.0 999.0 899.0 749.0 1048.0 999.0 849.0 999.0 
22.06 700.0 1100.0 750.0 1000.0 1050.0 950.0 550.0 750.0 400.0 1000.0 
23.061 799.0 749.0 1098.0 799.0 749.0 999.0 1198.0 1098.0 1148.0 849.0 
24.061 900.0 1000.0 1100.0 1200.0 1000.0 850.0 1000.0 300.0 750.0 1000.0 
25.062 1098.0 749.0 799.0 999.0 999.0 949.0 999.0 649.0 949.0 999.0 
26.062 1000.0 900.0 1150.0 750.0 1000.0 800.0 1000.0 600.0 600.0 850.0 
27.064 998.0 998.0 998.0 998.0 798.0 449.0 499.0 998.0 798.0 998.0 
28.064 800.0 1000.0 1000.0 1000.0 1150.0 750.0 800.0 1100.0 600.0 1000.0 
29.064 1050.0 950.0 1000.0 1000.0 1050.0 1000.0 800.0 750.0 650.0 1000.0 
30.066 998.0 499.0 998.0 948.0 998.0 998.0 998.0 399.0 997.0 947.0 
31.067 899.0 1248.0 999.0 999.0 749.0 949.0 999.0 999.0 750.0 1000.0 
32.068 549.0 999.0 999.0 849.0 899.0 799.0 999.0 449.0 1098.0 699.0 
33.069 1248.0 999.0 699.0 1048.0 649.0 799.0 999.0 699.0 999.0 999.0 
34.069 800.0 1000.0 1250.0 600.0 800.0 850.0 1000.0 1100.0 950.0 1000.0 
35.069 900.0 850.0 850.0 850.0 900.0 850.0 900.0 850.0 800.0 1000.0 
36.07 749.0 699.0 949.0 949.0 999.0 849.0 999.0 849.0 999.0 999.0 
37.07 900.0 1050.0 950.0 800.0 1000.0 600.0 950.0 1000.0 1000.0 1000.0 
38.071 549.0 849.0 1048.0 849.0 999.0 699.0 649.0 999.0 999.0 999.0 
39.072 599.0 849.0 999.0 999.0 799.0 749.0 999.0 999.0 699.0 999.0 
40.072 500.0 800.0 1000.0 950.0 1000.0 950.0 1000.0 1000.0 1000.0 1000.0 
41.073 0.0 99.0 549.0 149.0 99.0 349.0 249.0 349.0 349.0 449.0 
42.075 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
43.075 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
