time Optional[local:s-0] Optional[local:l-0] Optional[local:l-1] Optional[local:l-2] Optional[local:l-3] Optional[local:l-4] Optional[local:l-5] Optional[local:l-6] Optional[local:l-7] Optional[local:l-8] Optional[local:l-9] 
0.0 1024.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
1.002 2176.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
2.003 3200.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
3.005 4188.0 512.0 0.0 0.0 0.0 768.0 512.0 0.0 0.0 0.0 0.0 
4.006 5140.0 1536.0 512.0 768.0 128.0 1792.0 1536.0 512.0 0.0 256.0 512.0 
5.006 6152.0 2420.0 1792.0 1792.0 1024.0 2920.0 2676.0 1536.0 640.0 1152.0 1536.0 
6.007 7048.0 3664.0 2932.0 2804.0 2036.0 3920.0 3688.0 2676.0 1792.0 2292.0 2676.0 
7.007 8188.0 4500.0 3920.0 3920.0 3060.0 4500.0 4500.0 3688.0 2804.0 3316.0 3688.0 
8.009 9164.0 5140.0 4780.0 4884.0 4152.0 4884.0 4500.0 4500.0 3920.0 4500.0 4500.0 
9.009 10152.0 6408.0 5652.0 5652.0 5036.0 6036.0 4500.0 4500.0 4500.0 4756.0 4628.0 
10.01 11164.0 7420.0 6908.0 6908.0 6036.0 7176.0 5524.0 4884.0 4500.0 5908.0 5652.0 
11.011 11920.0 8408.0 7920.0 7792.0 7152.0 8188.0 6676.0 6036.0 4500.0 6920.0 6664.0 
12.012 13200.0 9000.0 9000.0 8920.0 8036.0 9000.0 7664.0 6920.0 4500.0 7932.0 7304.0 
13.013 14176.0 9500.0 9512.0 9896.0 9128.0 9000.0 8652.0 8188.0 5268.0 8896.0 8408.0 
14.014 15176.0 10396.0 10536.0 10884.0 10152.0 9640.0 9000.0 9048.0 6292.0 9500.0 9256.0 
