time Optional[local:sl-0] Optional[local:sl-1] Optional[local:sl-2] Optional[local:sl-3] Optional[local:sl-4] Optional[local:sl-5] Optional[local:sl-6] Optional[local:sl-7] Optional[local:sl-8] Optional[local:sl-9] 
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
1.003 548.0 648.0 398.0 697.0 747.0 797.0 997.0 997.0 747.0 648.0 
2.005 798.0 748.0 748.0 948.0 948.0 998.0 798.0 998.0 998.0 998.0 
3.005 600.0 1000.0 800.0 1000.0 1050.0 900.0 1000.0 1000.0 900.0 850.0 
4.007 948.0 998.0 898.0 1047.0 798.0 998.0 998.0 998.0 748.0 698.0 
5.008 949.0 1098.0 649.0 999.0 849.0 999.0 999.0 899.0 699.0 999.0 
6.009 949.0 1048.0 749.0 999.0 799.0 449.0 849.0 999.0 1098.0 949.0 
7.009 850.0 750.0 1000.0 1000.0 800.0 1000.0 650.0 750.0 750.0 600.0 
8.012 648.0 1046.0 797.0 997.0 997.0 697.0 598.0 1246.0 1096.0 997.0 
9.012 950.0 1000.0 650.0 1000.0 1000.0 900.0 950.0 1000.0 1000.0 1000.0 
10.013 999.0 899.0 849.0 999.0 999.0 1048.0 999.0 699.0 949.0 849.0 
11.013 1000.0 900.0 1050.0 1000.0 1000.0 1000.0 450.0 800.0 900.0 800.0 
12.014 999.0 899.0 799.0 999.0 999.0 849.0 799.0 849.0 749.0 799.0 
13.015 999.0 749.0 1148.0 999.0 849.0 849.0 1198.0 749.0 799.0 449.0 
14.016 999.0 999.0 899.0 999.0 949.0 549.0 999.0 849.0 999.0 699.0 
15.017 949.0 999.0 849.0 999.0 699.0 1248.0 899.0 799.0 999.0 749.0 
16.028 1038.0 989.0 840.0 939.0 445.0 692.0 1038.0 1137.0 989.0 494.0 
17.029 999.0 1098.0 999.0 999.0 1148.0 999.0 499.0 649.0 849.0 849.0 
18.029 1000.0 900.0 950.0 750.0 800.0 800.0 1250.0 700.0 1150.0 800.0 
19.03 899.0 999.0 849.0 999.0 599.0 949.0 899.0 449.0 999.0 799.0 
20.03 1100.0 950.0 1050.0 850.0 900.0 550.0 1000.0 1000.0 1000.0 800.0 
21.031 749.0 799.0 999.0 949.0 1198.0 1248.0 699.0 849.0 999.0 749.0 
22.032 799.0 999.0 949.0 1048.0 799.0 949.0 749.0 699.0 999.0 998.0 
23.033 999.0 999.0 999.0 849.0 649.0 749.0 999.0 549.0 999.0 1000.0 
24.034 999.0 999.0 899.0 849.0 649.0 999.0 799.0 999.0 849.0 999.0 
25.035 999.0 999.0 1048.0 899.0 699.0 999.0 999.0 599.0 799.0 899.0 
26.036 999.0 999.0 999.0 749.0 449.0 999.0 649.0 999.0 849.0 849.0 
27.036 1000.0 600.0 550.0 1000.0 1250.0 650.0 1150.0 1000.0 1050.0 1000.0 
28.037 549.0 999.0 999.0 599.0 999.0 1248.0 999.0 899.0 999.0 899.0 
29.038 1048.0 999.0 949.0 699.0 999.0 999.0 999.0 449.0 999.0 999.0 
30.038 1000.0 1000.0 600.0 500.0 1000.0 850.0 1000.0 850.0 1000.0 1000.0 
31.039 749.0 999.0 1098.0 1048.0 999.0 1048.0 899.0 449.0 999.0 749.0 
32.039 800.0 1000.0 850.0 750.0 1000.0 950.0 550.0 1000.0 1000.0 750.0 
33.039 750.0 850.0 1000.0 1200.0 950.0 800.0 850.0 950.0 1000.0 1050.0 
34.04 1098.0 999.0 999.0 749.0 799.0 799.0 949.0 999.0 999.0 599.0 
35.041 499.0 699.0 849.0 999.0 799.0 649.0 1148.0 999.0 999.0 949.0 
36.041 950.0 1000.0 1150.0 1000.0 900.0 950.0 650.0 950.0 900.0 750.0 
37.042 849.0 999.0 949.0 999.0 999.0 999.0 1048.0 999.0 849.0 1048.0 
38.043 699.0 749.0 749.0 999.0 999.0 949.0 899.0 799.0 999.0 849.0 
39.044 899.0 949.0 799.0 999.0 849.0 549.0 999.0 949.0 899.0 999.0 
40.045 799.0 999.0 799.0 999.0 999.0 499.0 749.0 749.0 1098.0 999.0 
41.046 49.0 449.0 0.0 449.0 49.0 0.0 0.0 449.0 349.0 499.0 
42.046 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
43.047 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
