Time Mean Min Max StDev ConfidenceInterval
0 0.0 0.0 0.0 0.0 0.0
1 0.3225 0.25 0.375 0.03809709816887486 0.023612826081508227
2 0.8150000000000001 0.725 0.85 0.04116363011742822 0.025513482274628393
3 1.325 1.275 1.4 0.042491829279939886 0.026336708644441934
4 1.8175000000000001 1.775 1.85 0.03129163892586437 0.019394758742161965
5 2.2824999999999998 2.25 2.325 0.020581815058714144 0.01275674113731422
6 2.8 2.75 2.875 0.03333333333333336 0.020660214046433426
7 3.28 3.25 3.3 0.019720265943665317 0.012222747463461497
8 3.7924999999999995 3.75 3.825 0.026483747636784592 0.01641479684783084
9 4.3175 4.275 4.375 0.031291638925864236 0.019394758742161882
10 4.8125 4.775 4.85 0.02700308624336592 0.01673668625106724
11 5.29 5.225 5.35 0.04116363011742814 0.025513482274628345
12 5.8275 5.775 5.9 0.043221008266299675 0.02678865846253257
13 6.345000000000001 6.275 6.4 0.032914029430219094 0.020400326794768053
14 6.8075 6.75 6.85 0.02898754521821007 0.01796666666666662
15 7.290000000000001 7.25 7.35 0.02934469476943151 0.018188030251911298
16 7.8075 7.775 7.85 0.02648374763678436 0.016414796847830697
17 8.32 8.25 8.375 0.038729833462073926 0.024004999479274994
18 8.817499999999999 8.775 8.875 0.03343733774623113 0.020724676649400676
19 9.3275 9.275 9.375 0.029930474993446334 0.018551100596280717
20 9.807500000000001 9.75 9.9 0.047214051580717536 0.029263572349709163
21 10.33 10.3 10.375 0.019720265943665365 0.012222747463461529
22 10.807500000000001 10.725 10.9 0.04417452760232855 0.027379655869925665
23 11.3375 11.325 11.375 0.017677669529663938 0.010956733089749123
24 11.8225 11.75 11.925 0.05583955189250322 0.03460971283068127
25 12.317499999999999 12.25 12.4 0.05533985905294658 0.03429999999999996
26 12.830000000000002 12.775 12.875 0.03291402943021894 0.020400326794767963
27 13.344999999999999 13.325 13.4 0.022973414586817363 0.014239069882233068
28 13.815000000000001 13.775 13.875 0.031622776601683465 0.019599999999999795
29 14.305000000000001 14.25 14.35 0.03291402943021886 0.020400326794767908
30 14.815000000000001 14.775 14.875 0.031622776601683465 0.019599999999999795
31 15.325 15.25 15.4 0.04249182927993978 0.02633670864444187
32 15.830000000000002 15.75 15.875 0.04216370213557822 0.026133333333333224
33 16.315 16.275 16.375 0.029344694769431898 0.018188030251911538
34 16.805 16.775 16.85 0.022973414586817537 0.014239069882233175
35 17.3 17.275 17.35 0.026352313834737247 0.016333333333333797
36 17.7925 17.75 17.85 0.02898754521821081 0.01796666666666708
37 18.29 18.25 18.35 0.033747427885528654 0.02091687250894793
38 18.807499999999997 18.775 18.85 0.03129163892586525 0.01939475874216251
39 19.332500000000003 19.3 19.375 0.02648374763678468 0.016414796847830895
40 19.830000000000002 19.8 19.875 0.025819888974716248 0.016003332986183512
41 20.0 20.0 20.0 0.0 0.0
42 20.0 20.0 20.0 0.0 0.0
43 20.0 20.0 20.0 0.0 0.0
