Time Mean Min Max StDev ConfidenceInterval
0 64.0 0.0 128.0 67.46192341692543 41.81333333333333
1 179.2 128.0 256.0 66.09891577527324 40.968532444629574
2 294.4 256.0 384.0 61.82987411707494 38.322553011684036
3 584.0 384.0 884.0 158.18975946628152 98.04702871581576
4 1266.8 1012.0 1512.0 145.52342308599899 90.19635209179285
5 2231.2 1780.0 2780.0 301.62110153119073 186.94669555666275
6 3245.6 2920.0 3420.0 175.48611847601444 108.76742309676693
7 4203.6 3908.0 4536.0 212.51886190798845 131.72055527770394
8 5172.8 4652.0 5524.0 275.10515161378646 170.51193952852032
9 6050.8 5652.0 6384.0 219.7052571059691 136.1747291680802
10 6922.0 6652.0 7536.0 269.1699174210306 166.83324326337893
11 7906.8 7408.0 8396.0 365.60598098681777 226.60493471531757
12 9037.2 8536.0 9652.0 374.0661854687097 231.84862377949204
13 10047.6 9420.0 10792.0 426.65604153436965 264.44415426912184
14 11110.4 10408.0 11804.0 399.93421681293756 247.88179571543992
15 12255.6 11408.0 12792.0 417.9333280161642 259.0377604185665
16 13069.6 12408.0 13664.0 371.31932947860986 230.14610479818634
17 14038.0 13536.0 14768.0 366.9077994991839 227.41181018877037
18 15012.4 14524.0 15640.0 396.4439711008634 245.71851901085694
19 15742.8 15292.0 16640.0 398.0309312380411 246.7021270943744
20 16659.2 15908.0 17420.0 451.47383337489475 279.8263810166741
21 17570.8 16908.0 17932.0 310.25179738041453 192.29605626510158
22 18655.6 17780.0 19152.0 363.31535123697216 225.18518768732943
23 19606.8 19164.0 19920.0 223.06192463578859 138.2552132575437
24 20539.6 20188.0 21292.0 315.1603471955894 195.3384069602744
25 21724.4 21292.0 22408.0 322.94450847716166 200.16308010775168
26 22723.2 22408.0 23268.0 278.30470910696266 172.49504580840704
27 23719.6 23164.0 24036.0 250.91795914645533 155.5205623218
28 24605.6 24152.0 25152.0 327.27399326354464 202.84652257967514
29 25584.8 25024.0 26048.0 331.96947650850876 205.75681324644714
30 26704.8 26280.0 27420.0 381.51883599924946 236.46782443471855
31 27798.8 27280.0 28280.0 394.9055583300899 244.76500089677856
32 28796.4 28024.0 29164.0 392.1970026515869 243.0862206945419
33 29756.8 29164.0 30152.0 323.9632352255079 200.79449348802146
34 30630.0 30164.0 30896.0 214.0840956259946 132.690697187105
35 31647.6 30884.0 32048.0 372.27683844747105 230.7395750056279
36 32573.2 31780.0 33164.0 388.78065795509946 240.96874831396704
37 33397.6 32896.0 33908.0 270.58586642896023 167.71085755085878
38 34528.8 33908.0 35408.0 423.4411411282565 262.4515383532739
39 35618.4 35152.0 36664.0 448.73828056501316 278.13086781904985
40 36616.4 35908.0 37036.0 359.37946518965157 222.74570024132896
41 37674.4 36780.0 38536.0 530.9118361628207 329.0625652472658
42 38706.8 38036.0 39152.0 388.96809352153525 241.08492208164142
43 39708.0 38536.0 40176.0 531.9949874450573 329.73390936733614
44 40829.2 39792.0 41780.0 556.3789276303615 344.8472320730506
45 41969.6 41024.0 42396.0 425.34043881212244 263.6287352538709
46 43040.4 42524.0 43908.0 420.9806540817655 260.9265126821045
47 43889.2 43152.0 44652.0 484.49396281068357 300.29246927620414
48 44820.8 44036.0 45420.0 467.61731742478867 289.8322160944539
49 45950.0 45048.0 46920.0 605.5777773700455 375.3409950668561
50 47017.6 46420.0 48060.0 620.2456860882719 384.4322590788193
51 47945.2 47524.0 49024.0 487.6612667734758 302.25558461084626
52 48733.2 48024.0 49512.0 455.5360212614 282.3441511536349
53 49252.8 48652.0 49756.0 332.7985042701431 206.27064997662117
54 49723.6 49384.0 50000.0 192.59583473054542 119.37213509953746
55 49942.0 49884.0 50000.0 61.137368096588666 37.89333333333333
56 50000.0 50000.0 50000.0 0.0 0.0
57 50000.0 50000.0 50000.0 0.0 0.0
58 50000.0 50000.0 50000.0 0.0 0.0
