Time Mean Min Max StDev ConfidenceInterval
0 0.0 0.0 0.0 0 0
1 745760.0 745760.0 745760.0 0 0
2 1749152.0 1749152.0 1749152.0 0 0
3 2743216.0 2743216.0 2743216.0 0 0
4 3747456.0 3747456.0 3747456.0 0 0
5 4747456.0 4747456.0 4747456.0 0 0
6 5750000.0 5750000.0 5750000.0 0 0
7 6495760.0 6495760.0 6495760.0 0 0
8 7495760.0 7495760.0 7495760.0 0 0
9 8497456.0 8497456.0 8497456.0 0 0
10 9495760.0 9495760.0 9495760.0 0 0
11 1.0494912E7 1.0494912E7 1.0494912E7 0 0
12 1.149576E7 1.149576E7 1.149576E7 0 0
13 1.25E7 1.25E7 1.25E7 0 0
14 1.3496608E7 1.3496608E7 1.3496608E7 0 0
15 1.4499152E7 1.4499152E7 1.4499152E7 0 0
16 1.5496608E7 1.5496608E7 1.5496608E7 0 0
17 1.649576E7 1.649576E7 1.649576E7 0 0
18 1.749576E7 1.749576E7 1.749576E7 0 0
19 1.849576E7 1.849576E7 1.849576E7 0 0
20 1.949576E7 1.949576E7 1.949576E7 0 0
21 2.05E7 2.05E7 2.05E7 0 0
22 2.149576E7 2.149576E7 2.149576E7 0 0
23 2.249576E7 2.249576E7 2.249576E7 0 0
24 2.349576E7 2.349576E7 2.349576E7 0 0
25 2.4494912E7 2.4494912E7 2.4494912E7 0 0
26 2.549576E7 2.549576E7 2.549576E7 0 0
27 2.649576E7 2.649576E7 2.649576E7 0 0
28 2.749576E7 2.749576E7 2.749576E7 0 0
29 2.8497456E7 2.8497456E7 2.8497456E7 0 0
30 2.949576E7 2.949576E7 2.949576E7 0 0
31 3.0499152E7 3.0499152E7 3.0499152E7 0 0
32 3.1499152E7 3.1499152E7 3.1499152E7 0 0
33 3.2498304E7 3.2498304E7 3.2498304E7 0 0
34 3.3496608E7 3.3496608E7 3.3496608E7 0 0
35 3.449576E7 3.449576E7 3.449576E7 0 0
36 3.549576E7 3.549576E7 3.549576E7 0 0
37 3.6499152E7 3.6499152E7 3.6499152E7 0 0
38 3.749576E7 3.749576E7 3.749576E7 0 0
39 3.85E7 3.85E7 3.85E7 0 0
40 3.949576E7 3.949576E7 3.949576E7 0 0
41 4.0E7 4.0E7 4.0E7 0 0
42 4.0E7 4.0E7 4.0E7 0 0
43 4.0E7 4.0E7 4.0E7 0 0
44 4.0E7 4.0E7 4.0E7 0 0
