time Optional[local:ss-0] 
0.0 0.0 
1.003 1000.0 
2.005 2000.0 
3.005 3000.0 
4.007 4000.0 
5.008 5000.0 
6.009 6000.0 
7.009 7000.0 
8.012 8000.0 
9.012 9000.0 
10.013 10000.0 
11.013 11000.0 
12.014 12000.0 
13.015 13000.0 
14.016 14000.0 
15.017 15000.0 
16.028 16000.0 
17.029 17000.0 
18.029 18000.0 
19.03 19000.0 
20.03 20000.0 
21.031 21000.0 
22.032 22000.0 
23.033 23000.0 
24.034 24000.0 
25.035 25000.0 
26.036 26000.0 
27.036 27000.0 
28.037 28000.0 
29.038 29000.0 
30.038 30000.0 
31.039 31000.0 
32.039 32000.0 
33.039 33000.0 
34.04 34000.0 
35.041 35000.0 
36.041 36000.0 
37.042 37000.0 
38.043 38000.0 
39.044 39000.0 
40.045 40000.0 
41.046 40000.0 
42.046 40000.0 
43.047 40000.0 
