time Optional[local:ss-0] 
0.0 0.0 
1.004 946.0 
2.015 1088.0 
3.016 999.0 
4.018 998.0 
5.018 1000.0 
6.019 999.0 
7.021 998.0 
8.022 999.0 
9.024 998.0 
10.025 999.0 
11.028 997.0 
12.028 1000.0 
13.041 987.0 
14.042 999.0 
15.043 999.0 
16.044 999.0 
17.045 999.0 
18.045 1000.0 
19.046 999.0 
20.046 1000.0 
21.047 999.0 
22.047 1000.0 
23.047 1000.0 
24.048 999.0 
25.048 1000.0 
26.049 999.0 
27.05 999.0 
28.05 1000.0 
29.05 1000.0 
30.051 999.0 
31.052 999.0 
32.053 999.0 
33.053 1000.0 
34.053 950.0 
35.053 1050.0 
36.054 749.0 
37.054 1000.0 
38.054 1000.0 
39.055 999.0 
40.056 999.0 
41.058 199.0 
42.058 0.0 
43.058 0.0 
