Time Mean Min Max StDev ConfidenceInterval
0 0.0 0.0 0.0 0.0 0.0
1 837.0 747.0 897.0 51.63977794943222 32.006665972366854
2 957.8 748.0 1097.0 99.18646861117476 61.47641016050158
3 831.2 729.0 924.0 66.7163148462703 41.35120035339562
4 1072.2 898.0 1247.0 105.75212107145232 65.54584371601638
5 1023.5 899.0 1148.0 94.51778198366226 58.58272820929769
6 1008.6 899.0 1148.0 87.10300415791257 53.987001299695585
7 975.0 850.0 1100.0 82.49579113843055 51.131421085495184
8 1008.5 799.0 1098.0 93.27527956418987 57.81261723111237
9 1018.6 949.0 1148.0 67.05089277721977 41.558573903454494
10 972.7 898.0 1097.0 75.05708938312667 46.52086597073045
11 978.7 899.0 1048.0 53.31468423948092 33.044783646170565
12 994.1 850.0 1148.0 94.84894423356657 58.78798469831134
13 1004.3 899.0 1150.0 89.27367410882611 55.33239647399664
14 1058.4 849.0 1198.0 116.91516392476878 72.46476935878718
15 963.2 749.0 1098.0 110.1986085816574 68.30180522748526
16 957.4 848.0 1046.0 69.3817138893399 43.00323179586493
17 1018.5 849.0 1148.0 81.92306689137614 50.776442919483394
18 983.6 849.0 1198.0 119.87604709309808 74.29994375951213
19 980.8 896.0 1145.0 91.03820931650378 56.42606672648929
20 1060.0 850.0 1300.0 161.24515496597098 99.94078246641857
21 992.6 848.0 1247.0 127.4591001938356 78.99996876511337
22 933.6 699.0 1198.0 162.93570647480695 100.98859714729072
23 968.7 799.0 1198.0 122.52986030623991 75.94479423019504
24 1088.3 949.0 1198.0 83.90609830836692 52.00553852555834
25 1013.5 849.0 1148.0 102.41663276375897 63.47848664442676
26 1008.6 899.0 1198.0 109.58629273570466 67.92228793424307
27 968.7 799.0 1098.0 94.5293017476004 58.58986823295948
28 943.8 799.0 1198.0 129.67120814669008 80.3710474791071
29 1045.0 800.0 1200.0 106.58851303546321 66.06424482611183
30 973.9 899.0 1048.0 48.42049611935471 30.011334421810997
31 1030.0 950.0 1150.0 67.49485577105528 41.83374501789461
32 997.5 848.0 1047.0 66.25078615885752 41.06266268359453
33 953.7 749.0 1098.0 111.34635652373683 69.0131867721267
34 1040.0 850.0 1200.0 90.67647005823629 56.20185841134516
35 1020.0 850.0 1150.0 88.81941729649485 55.0508451847522
36 1005.0 850.0 1150.0 106.58851303546321 66.06424482611183
37 938.7 699.0 1048.0 126.20182249080241 78.22069997129915
38 990.0 800.0 1150.0 117.37877907772672 72.75212100764561
39 968.8 899.0 1098.0 71.16615924877654 44.1092424882687
40 925.0 800.0 1000.0 82.49579113843055 51.131421085495184
41 414.0 349.0 499.0 52.967495273569014 32.82959369566158
42 0.0 0.0 0.0 0.0 0.0
43 0.0 0.0 0.0 0.0 0.0
